payable_id,purchase_id,supplier_id,issue_date,due_date,amount,status,days_overdue
AP-0000001,PO-000001,SUP-006,2024-08-02,2024-09-14,1842.00,pago,0
AP-0000002,PO-000002,SUP-011,2024-09-03,2024-10-16,1899.07,pago,0
AP-0000003,PO-000003,SUP-016,2024-10-04,2024-11-16,1956.82,pago,0
AP-0000004,PO-000004,SUP-021,2024-11-05,2024-12-18,1007.62,pago,0
AP-0000005,PO-000004,SUP-021,2024-11-05,2025-01-05,1007.62,pago,0
AP-0000006,PO-000005,SUP-026,2024-12-06,2025-01-18,2074.32,pago,0
AP-0000007,PO-000006,SUP-031,2025-01-07,2025-02-19,2134.08,pago,0
AP-0000008,PO-000007,SUP-036,2025-02-08,2025-03-23,2194.51,pago,0
AP-0000009,PO-000008,SUP-041,2025-03-09,2025-04-21,1127.81,pago,0
AP-0000010,PO-000008,SUP-041,2025-03-09,2025-05-09,1127.81,pago,0
AP-0000011,PO-000009,SUP-046,2025-04-10,2025-05-23,2317.39,pago,0
AP-0000012,PO-000010,SUP-051,2025-05-11,2025-06-23,2379.84,pago,0
AP-0000013,PO-000011,SUP-056,2025-06-12,2025-07-25,2442.96,pago,0
AP-0000014,PO-000012,SUP-061,2025-07-13,2025-08-25,1253.38,pago,0
AP-0000015,PO-000012,SUP-061,2025-07-13,2025-09-12,1253.38,pago,0
AP-0000016,PO-000013,SUP-066,2025-08-14,2025-09-26,2571.22,pago,0
AP-0000017,PO-000014,SUP-071,2025-09-15,2025-10-28,2636.35,pago,0
AP-0000018,PO-000015,SUP-076,2025-10-16,2025-11-28,2702.16,pago,0
AP-0000019,PO-000016,SUP-081,2025-11-17,2025-12-30,1384.32,pago,0
AP-0000020,PO-000016,SUP-081,2025-11-17,2026-01-17,1384.32,pago,0
AP-0000021,PO-000017,SUP-001,2025-12-18,2026-01-30,2835.79,pago,0
AP-0000022,PO-000018,SUP-006,2026-01-19,2026-03-03,2903.62,pago,0
AP-0000023,PO-000019,SUP-011,2026-02-20,2026-04-04,2972.11,pago,0
AP-0000024,PO-000020,SUP-016,2026-03-21,2026-05-03,1520.64,pago,0
AP-0000025,PO-000020,SUP-016,2026-03-21,2026-05-21,1520.64,pago,0
AP-0000026,PO-000021,SUP-021,2026-04-22,2026-06-04,3111.12,pago,0
AP-0000027,PO-000022,SUP-026,2026-05-23,2026-07-05,3181.63,pago,0
AP-0000028,PO-000023,SUP-031,2026-06-24,2026-08-06,3252.82,pago,0
AP-0000029,PO-000024,SUP-036,2026-07-25,2026-09-06,1662.34,pago,0
AP-0000030,PO-000024,SUP-036,2026-07-25,2026-09-24,1662.34,pago,0
AP-0000031,PO-000025,SUP-041,2024-08-26,2024-10-08,2850.00,pago,0
AP-0000032,PO-000026,SUP-046,2024-09-27,2024-11-09,2915.14,pago,0
AP-0000033,PO-000027,SUP-051,2024-10-28,2024-12-10,2980.94,pago,0
AP-0000034,PO-000028,SUP-056,2024-11-01,2024-12-14,1523.71,pago,0
AP-0000035,PO-000028,SUP-056,2024-11-01,2025-01-01,1523.71,pago,0
AP-0000036,PO-000029,SUP-061,2024-12-02,2025-01-14,3114.58,pago,0
AP-0000037,PO-000030,SUP-066,2025-01-03,2025-02-15,3182.40,pago,0
AP-0000038,PO-000031,SUP-071,2025-02-04,2025-03-19,3250.90,pago,0
AP-0000039,PO-000032,SUP-076,2025-03-05,2025-04-17,1660.03,pago,0
AP-0000040,PO-000032,SUP-076,2025-03-05,2025-05-05,1660.03,pago,0
AP-0000041,PO-000033,SUP-081,2025-04-06,2025-05-19,3389.90,pago,0
AP-0000042,PO-000034,SUP-001,2025-05-07,2025-06-19,3460.42,pago,0
AP-0000043,PO-000035,SUP-006,2025-06-08,2025-07-21,3531.60,pago,0
AP-0000044,PO-000036,SUP-011,2025-07-09,2025-08-21,1801.73,pago,0
AP-0000045,PO-000036,SUP-011,2025-07-09,2025-09-08,1801.73,pago,0
AP-0000046,PO-000037,SUP-016,2025-08-10,2025-09-22,3675.98,pago,0
AP-0000047,PO-000038,SUP-021,2025-09-11,2025-10-24,3749.18,pago,0
AP-0000048,PO-000039,SUP-026,2025-10-12,2025-11-24,3823.06,pago,0
AP-0000049,PO-000040,SUP-031,2025-11-13,2025-12-26,1948.80,pago,0
AP-0000050,PO-000040,SUP-031,2025-11-13,2026-01-13,1948.80,pago,0
AP-0000051,PO-000041,SUP-036,2025-12-14,2026-01-26,3972.82,pago,0
AP-0000052,PO-000042,SUP-041,2026-01-15,2026-02-27,4048.70,pago,0
AP-0000053,PO-000043,SUP-046,2026-02-16,2026-03-31,4125.26,pago,0
AP-0000054,PO-000044,SUP-051,2026-03-17,2026-04-29,2101.25,pago,0
AP-0000055,PO-000044,SUP-051,2026-03-17,2026-05-17,2101.25,pago,0
AP-0000056,PO-000045,SUP-056,2026-04-18,2026-05-31,4280.40,pago,0
AP-0000057,PO-000046,SUP-061,2026-05-19,2026-07-01,4358.98,pago,0
AP-0000058,PO-000047,SUP-066,2026-06-20,2026-08-02,4438.22,pago,0
AP-0000059,PO-000048,SUP-071,2026-07-21,2026-09-02,2259.07,pago,0
AP-0000060,PO-000048,SUP-071,2026-07-21,2026-09-20,2259.07,pago,0
AP-0000061,PO-000049,SUP-076,2024-08-22,2024-10-04,3858.00,pago,0
AP-0000062,PO-000050,SUP-081,2024-09-23,2024-11-05,3931.20,pago,0
AP-0000063,PO-000051,SUP-001,2024-10-24,2024-12-06,4005.07,pago,0
AP-0000064,PO-000052,SUP-006,2024-11-25,2025-01-07,2039.81,pago,0
AP-0000065,PO-000052,SUP-006,2024-11-25,2025-01-25,2039.81,pago,0
AP-0000066,PO-000053,SUP-011,2024-12-26,2025-02-07,4154.83,pago,0
AP-0000067,PO-000054,SUP-016,2025-01-27,2025-03-11,4230.72,pago,0
AP-0000068,PO-000055,SUP-021,2025-02-28,2025-04-12,4307.28,pago,0
AP-0000069,PO-000056,SUP-026,2025-03-01,2025-04-13,2192.26,pago,0
AP-0000070,PO-000056,SUP-026,2025-03-01,2025-05-01,2192.26,pago,0
AP-0000071,PO-000057,SUP-031,2025-04-02,2025-05-15,4462.42,pago,0
AP-0000072,PO-000058,SUP-036,2025-05-03,2025-06-15,4540.99,pago,0
AP-0000073,PO-000059,SUP-041,2025-06-04,2025-07-17,4620.24,pago,0
AP-0000074,PO-000060,SUP-046,2025-07-05,2025-08-17,2350.08,pago,0
AP-0000075,PO-000060,SUP-046,2025-07-05,2025-09-04,2350.08,pago,0
AP-0000076,PO-000061,SUP-051,2025-08-06,2025-09-18,4780.75,pago,0
AP-0000077,PO-000062,SUP-056,2025-09-07,2025-10-20,4862.02,pago,0
AP-0000078,PO-000063,SUP-061,2025-10-08,2025-11-20,4943.95,pago,0
AP-0000079,PO-000064,SUP-066,2025-11-09,2025-12-22,2513.28,pago,0
AP-0000080,PO-000064,SUP-066,2025-11-09,2026-01-09,2513.28,pago,0
AP-0000081,PO-000065,SUP-071,2025-12-10,2026-01-22,5109.84,pago,0
AP-0000082,PO-000066,SUP-076,2026-01-11,2026-02-23,5193.79,pago,0
AP-0000083,PO-000067,SUP-081,2026-02-12,2026-03-27,5278.42,pago,0
AP-0000084,PO-000068,SUP-001,2026-03-13,2026-04-25,2681.86,pago,0
AP-0000085,PO-000068,SUP-001,2026-03-13,2026-05-13,2681.86,pago,0
AP-0000086,PO-000069,SUP-006,2026-04-14,2026-05-27,5449.68,pago,0
AP-0000087,PO-000070,SUP-011,2026-05-15,2026-06-27,5536.32,pago,0
AP-0000088,PO-000071,SUP-016,2026-06-16,2026-07-29,5623.63,pago,0
AP-0000089,PO-000072,SUP-021,2026-07-17,2026-08-29,2855.81,pago,0
AP-0000090,PO-000072,SUP-021,2026-07-17,2026-09-16,2855.81,pago,0
AP-0000091,PO-000073,SUP-026,2024-08-18,2024-09-30,4866.00,pago,0
AP-0000092,PO-000074,SUP-031,2024-09-19,2024-11-01,4947.26,pago,0
AP-0000093,PO-000075,SUP-036,2024-10-20,2024-12-02,5029.20,pago,0
AP-0000094,PO-000076,SUP-041,2024-11-21,2025-01-03,2555.90,pago,0
AP-0000095,PO-000076,SUP-041,2024-11-21,2025-01-21,2555.90,pago,0
AP-0000096,PO-000077,SUP-046,2024-12-22,2025-02-03,5195.09,pago,0
AP-0000097,PO-000078,SUP-051,2025-01-23,2025-03-07,5279.04,pago,0
AP-0000098,PO-000079,SUP-056,2025-02-24,2025-04-08,5363.66,pago,0
AP-0000099,PO-000080,SUP-061,2025-03-25,2025-05-07,2724.48,pago,0
AP-0000100,PO-000080,SUP-061,2025-03-25,2025-05-25,2724.48,pago,0
AP-0000101,PO-000081,SUP-066,2025-04-26,2025-06-08,5534.93,pago,0
AP-0000102,PO-000082,SUP-071,2025-05-27,2025-07-09,5621.57,pago,0
AP-0000103,PO-000083,SUP-076,2025-06-28,2025-08-10,5708.88,pago,0
AP-0000104,PO-000084,SUP-081,2025-07-01,2025-08-13,2898.43,pago,0
AP-0000105,PO-000084,SUP-081,2025-07-01,2025-08-31,2898.43,pago,0
AP-0000106,PO-000085,SUP-001,2025-08-02,2025-09-14,5885.52,pago,0
AP-0000107,PO-000086,SUP-006,2025-09-03,2025-10-16,5974.85,pago,0
AP-0000108,PO-000087,SUP-011,2025-10-04,2025-11-16,6064.85,pago,0
AP-0000109,PO-000088,SUP-016,2025-11-05,2025-12-18,3077.76,pago,0
AP-0000110,PO-000088,SUP-016,2025-11-05,2026-01-05,3077.76,pago,0
AP-0000111,PO-000089,SUP-021,2025-12-06,2026-01-18,6246.86,pago,0
AP-0000112,PO-000090,SUP-026,2026-01-07,2026-02-19,2044.80,pago,0
AP-0000113,PO-000091,SUP-031,2026-02-08,2026-03-23,2107.25,pago,0
AP-0000114,PO-000092,SUP-036,2026-03-09,2026-04-21,1085.18,pago,0
AP-0000115,PO-000092,SUP-036,2026-03-09,2026-05-09,1085.18,pago,0
AP-0000116,PO-000093,SUP-041,2026-04-10,2026-05-23,2234.16,pago,0
AP-0000117,PO-000094,SUP-046,2026-05-11,2026-06-23,2298.62,pago,0
AP-0000118,PO-000095,SUP-051,2026-06-12,2026-07-25,2363.76,pago,0
AP-0000119,PO-000096,SUP-056,2026-07-13,2026-08-25,1214.78,pago,0
AP-0000120,PO-000096,SUP-056,2026-07-13,2026-09-12,1214.78,pago,0
AP-0000121,PO-000097,SUP-061,2024-08-14,2024-09-26,2094.00,pago,0
AP-0000122,PO-000098,SUP-066,2024-09-15,2024-10-28,2153.09,pago,0
AP-0000123,PO-000099,SUP-071,2024-10-16,2024-11-28,2212.85,pago,0
AP-0000124,PO-000100,SUP-076,2024-11-17,2024-12-30,1136.64,pago,0
AP-0000125,PO-000100,SUP-076,2024-11-17,2025-01-17,1136.64,pago,0
AP-0000126,PO-000101,SUP-081,2024-12-18,2025-01-30,2334.38,pago,0
AP-0000127,PO-000102,SUP-001,2025-01-19,2025-03-03,2396.16,pago,0
AP-0000128,PO-000103,SUP-006,2025-02-20,2025-04-04,2458.61,pago,0
AP-0000129,PO-000104,SUP-011,2025-03-21,2025-05-03,1260.86,pago,0
AP-0000130,PO-000104,SUP-011,2025-03-21,2025-05-21,1260.86,pago,0
AP-0000131,PO-000105,SUP-016,2025-04-22,2025-06-04,2585.52,pago,0
AP-0000132,PO-000106,SUP-021,2025-05-23,2025-07-05,2649.98,pago,0
AP-0000133,PO-000107,SUP-026,2025-06-24,2025-08-06,2715.12,pago,0
AP-0000134,PO-000108,SUP-031,2025-07-25,2025-09-06,1390.46,pago,0
AP-0000135,PO-000108,SUP-031,2025-07-25,2025-09-24,1390.46,pago,0
AP-0000136,PO-000109,SUP-036,2025-08-26,2025-10-08,2847.41,pago,0
AP-0000137,PO-000110,SUP-041,2025-09-27,2025-11-09,2914.56,pago,0
AP-0000138,PO-000111,SUP-046,2025-10-28,2025-12-10,2982.38,pago,0
AP-0000139,PO-000112,SUP-051,2025-11-01,2025-12-14,1525.44,pago,0
AP-0000140,PO-000112,SUP-051,2025-11-01,2026-01-01,1525.44,pago,0
AP-0000141,PO-000113,SUP-056,2025-12-02,2026-01-14,3120.05,pago,0
AP-0000142,PO-000114,SUP-061,2026-01-03,2026-02-15,3189.89,pago,0
AP-0000143,PO-000115,SUP-066,2026-02-04,2026-03-19,3260.40,pago,0
AP-0000144,PO-000116,SUP-071,2026-03-05,2026-04-17,1665.79,pago,0
AP-0000145,PO-000116,SUP-071,2026-03-05,2026-05-05,1665.79,pago,0
AP-0000146,PO-000117,SUP-076,2026-04-06,2026-05-19,3403.44,pago,0
AP-0000147,PO-000118,SUP-081,2026-05-07,2026-06-19,3475.97,pago,0
AP-0000148,PO-000119,SUP-001,2026-06-08,2026-07-21,3549.17,pago,0
AP-0000149,PO-000120,SUP-006,2026-07-09,2026-08-21,1811.52,pago,0
AP-0000150,PO-000120,SUP-006,2026-07-09,2026-09-08,1811.52,pago,0
AP-0000151,PO-000121,SUP-011,2024-08-10,2024-09-22,3102.00,pago,0
AP-0000152,PO-000122,SUP-016,2024-09-11,2024-10-24,3169.15,pago,0
AP-0000153,PO-000123,SUP-021,2024-10-12,2024-11-24,3236.98,pago,0
AP-0000154,PO-000124,SUP-026,2024-11-13,2024-12-26,1652.74,pago,0
AP-0000155,PO-000124,SUP-026,2024-11-13,2025-01-13,1652.74,pago,0
AP-0000156,PO-000125,SUP-031,2024-12-14,2025-01-26,3374.64,pago,0
AP-0000157,PO-000126,SUP-036,2025-01-15,2025-02-27,3444.48,pago,0
AP-0000158,PO-000127,SUP-041,2025-02-16,2025-03-31,3514.99,pago,0
AP-0000159,PO-000128,SUP-046,2025-03-17,2025-04-29,1793.09,pago,0
AP-0000160,PO-000128,SUP-046,2025-03-17,2025-05-17,1793.09,pago,0
AP-0000161,PO-000129,SUP-051,2025-04-18,2025-05-31,3658.03,pago,0
AP-0000162,PO-000130,SUP-056,2025-05-19,2025-07-01,3730.56,pago,0
AP-0000163,PO-000131,SUP-061,2025-06-20,2025-08-02,3803.76,pago,0
AP-0000164,PO-000132,SUP-066,2025-07-21,2025-09-02,1938.82,pago,0
AP-0000165,PO-000132,SUP-066,2025-07-21,2025-09-20,1938.82,pago,0
AP-0000166,PO-000133,SUP-071,2025-08-22,2025-10-04,3952.18,pago,0
AP-0000167,PO-000134,SUP-076,2025-09-23,2025-11-05,4027.39,pago,0
AP-0000168,PO-000135,SUP-081,2025-10-24,2025-12-06,4103.28,pago,0
AP-0000169,PO-000136,SUP-001,2025-11-25,2026-01-07,2089.92,pago,0
AP-0000170,PO-000136,SUP-001,2025-11-25,2026-01-25,2089.92,pago,0
AP-0000171,PO-000137,SUP-006,2025-12-26,2026-02-07,4257.07,pago,0
AP-0000172,PO-000138,SUP-011,2026-01-27,2026-03-11,4334.98,pago,0
AP-0000173,PO-000139,SUP-016,2026-02-28,2026-04-12,4413.55,pago,0
AP-0000174,PO-000140,SUP-021,2026-03-01,2026-04-13,2246.40,pago,0
AP-0000175,PO-000140,SUP-021,2026-03-01,2026-05-01,2246.40,pago,0
AP-0000176,PO-000141,SUP-026,2026-04-02,2026-05-15,4572.72,pago,0
AP-0000177,PO-000142,SUP-031,2026-05-03,2026-06-15,4653.31,pago,0
AP-0000178,PO-000143,SUP-036,2026-06-04,2026-07-17,4734.58,pago,0
AP-0000179,PO-000144,SUP-041,2026-07-05,2026-08-17,2408.26,pago,0
AP-0000180,PO-000144,SUP-041,2026-07-05,2026-09-04,2408.26,pago,0
AP-0000181,PO-000145,SUP-046,2024-08-06,2024-09-18,4110.00,pago,0
AP-0000182,PO-000146,SUP-051,2024-09-07,2024-10-20,4185.22,pago,0
AP-0000183,PO-000147,SUP-056,2024-10-08,2024-11-20,4261.10,pago,0
AP-0000184,PO-000148,SUP-061,2024-11-09,2024-12-22,2168.83,pago,0
AP-0000185,PO-000148,SUP-061,2024-11-09,2025-01-09,2168.83,pago,0
AP-0000186,PO-000149,SUP-066,2024-12-10,2025-01-22,4414.90,pago,0
AP-0000187,PO-000150,SUP-071,2025-01-11,2025-02-23,4492.80,pago,0
AP-0000188,PO-000151,SUP-076,2025-02-12,2025-03-27,4571.38,pago,0
AP-0000189,PO-000152,SUP-081,2025-03-13,2025-04-25,2325.31,pago,0
AP-0000190,PO-000152,SUP-081,2025-03-13,2025-05-13,2325.31,pago,0
AP-0000191,PO-000153,SUP-001,2025-04-14,2025-05-27,4730.54,pago,0
AP-0000192,PO-000154,SUP-006,2025-05-15,2025-06-27,4811.14,pago,0
AP-0000193,PO-000155,SUP-011,2025-06-16,2025-07-29,4892.40,pago,0
AP-0000194,PO-000156,SUP-016,2025-07-17,2025-08-29,2487.17,pago,0
AP-0000195,PO-000156,SUP-016,2025-07-17,2025-09-16,2487.17,pago,0
AP-0000196,PO-000157,SUP-021,2025-08-18,2025-09-30,5056.94,pago,0
AP-0000197,PO-000158,SUP-026,2025-09-19,2025-11-01,5140.22,pago,0
