receivable_id,sale_id,customer_external_id,issue_date,due_date,amount,status,days_overdue
AR-0000001,S-000001,CLI-0002,2024-08-02,2024-09-14,846.68,recebido,0
AR-0000002,S-000001,CLI-0002,2024-08-02,2024-09-29,846.68,recebido,0
AR-0000003,S-000002,CLI-0003,2024-09-03,2024-10-16,858.03,recebido,0
AR-0000004,S-000002,CLI-0003,2024-09-03,2024-10-31,858.03,recebido,0
AR-0000005,S-000003,CLI-0004,2024-10-04,2024-11-16,869.30,recebido,0
AR-0000006,S-000003,CLI-0004,2024-10-04,2024-12-01,869.30,recebido,0
AR-0000007,S-000004,CLI-0005,2024-11-05,2024-12-18,692.66,recebido,0
AR-0000008,S-000004,CLI-0005,2024-11-05,2025-01-02,692.66,recebido,0
AR-0000009,S-000004,CLI-0005,2024-11-05,2025-01-17,692.66,recebido,0
AR-0000010,S-000005,CLI-0006,2024-12-06,2025-01-18,1065.85,recebido,0
AR-0000011,S-000005,CLI-0006,2024-12-06,2025-02-02,1065.85,recebido,0
AR-0000012,S-000006,CLI-0007,2025-01-07,2025-02-19,841.34,recebido,0
AR-0000013,S-000006,CLI-0007,2025-01-07,2025-03-06,841.34,recebido,0
AR-0000014,S-000007,CLI-0008,2025-02-08,2025-03-23,851.62,recebido,0
AR-0000015,S-000007,CLI-0008,2025-02-08,2025-04-07,851.62,recebido,0
AR-0000016,S-000008,CLI-0009,2025-03-09,2025-04-21,674.47,recebido,0
AR-0000017,S-000008,CLI-0009,2025-03-09,2025-05-06,674.47,recebido,0
AR-0000018,S-000008,CLI-0009,2025-03-09,2025-05-21,674.47,recebido,0
AR-0000019,S-000009,CLI-0010,2025-04-10,2025-05-23,1023.62,recebido,0
AR-0000020,S-000009,CLI-0010,2025-04-10,2025-06-07,1023.62,recebido,0
AR-0000021,S-000010,CLI-0011,2025-05-11,2025-06-23,971.25,recebido,0
AR-0000022,S-000010,CLI-0011,2025-05-11,2025-07-08,971.25,recebido,0
AR-0000023,S-000011,CLI-0012,2025-06-12,2025-07-25,982.31,recebido,0
AR-0000024,S-000011,CLI-0012,2025-06-12,2025-08-09,982.31,recebido,0
AR-0000025,S-000012,CLI-0013,2025-07-13,2025-08-25,456.92,recebido,0
AR-0000026,S-000012,CLI-0013,2025-07-13,2025-09-09,456.92,recebido,0
AR-0000027,S-000012,CLI-0013,2025-07-13,2025-09-24,456.92,recebido,0
AR-0000028,S-000012,CLI-0013,2025-07-13,2025-10-09,456.92,recebido,0
AR-0000029,S-000013,CLI-0014,2025-08-14,2025-09-26,1004.22,recebido,0
AR-0000030,S-000013,CLI-0014,2025-08-14,2025-10-11,1004.22,recebido,0
AR-0000031,S-000014,CLI-0015,2025-09-15,2025-10-28,1007.54,recebido,0
AR-0000032,S-000014,CLI-0015,2025-09-15,2025-11-12,1007.54,recebido,0
AR-0000033,S-000015,CLI-0001,2025-10-16,2025-11-28,1023.86,recebido,0
AR-0000034,S-000015,CLI-0001,2025-10-16,2025-12-13,1023.86,recebido,0
AR-0000035,S-000016,CLI-0002,2025-11-17,2025-12-30,807.78,recebido,0
AR-0000036,S-000016,CLI-0002,2025-11-17,2026-01-14,807.78,recebido,0
AR-0000037,S-000016,CLI-0002,2025-11-17,2026-01-29,807.78,recebido,0
AR-0000038,S-000017,CLI-0003,2025-12-18,2026-01-30,1214.92,recebido,0
AR-0000039,S-000017,CLI-0003,2025-12-18,2026-02-14,1214.92,recebido,0
AR-0000040,S-000018,CLI-0004,2026-01-19,2026-03-03,949.55,recebido,0
AR-0000041,S-000018,CLI-0004,2026-01-19,2026-03-18,949.55,recebido,0
AR-0000042,S-000019,CLI-0005,2026-02-20,2026-04-04,951.70,recebido,0
AR-0000043,S-000019,CLI-0005,2026-02-20,2026-04-19,951.70,recebido,0
AR-0000044,S-000020,CLI-0006,2026-03-21,2026-05-03,567.11,recebido,0
AR-0000045,S-000020,CLI-0006,2026-03-21,2026-05-18,567.11,recebido,0
AR-0000046,S-000020,CLI-0006,2026-03-21,2026-06-02,567.11,recebido,0
AR-0000047,S-000020,CLI-0006,2026-03-21,2026-06-17,567.11,recebido,0
AR-0000048,S-000021,CLI-0007,2026-04-22,2026-06-04,1136.37,recebido,0
AR-0000049,S-000021,CLI-0007,2026-04-22,2026-06-19,1136.37,recebido,0
AR-0000050,S-000022,CLI-0008,2026-05-23,2026-07-05,1053.96,recebido,0
