entry_id,transaction_date,origin,cash_in,cash_out,balance_after,description
CF-0000001,2024-08-04,administrative_expense,0.00,361.00,949639.00,Despesa administrativa recorrente
CF-0000002,2024-08-04,administrative_expense,0.00,524.00,949115.00,Despesa administrativa recorrente
CF-0000003,2024-08-04,administrative_expense,0.00,687.00,948428.00,Despesa administrativa recorrente
CF-0000004,2024-08-04,administrative_expense,0.00,875.00,947553.00,Despesa administrativa recorrente
CF-0000005,2024-08-04,administrative_expense,0.00,1038.00,946515.00,Despesa administrativa recorrente
CF-0000006,2024-08-04,administrative_expense,0.00,761.00,945754.00,Despesa administrativa recorrente
CF-0000007,2024-08-04,administrative_expense,0.00,949.00,944805.00,Despesa administrativa recorrente
CF-0000008,2024-08-04,administrative_expense,0.00,1112.00,943693.00,Despesa administrativa recorrente
CF-0000009,2024-08-08,administrative_expense,0.00,449.00,943244.00,Despesa administrativa recorrente
CF-0000010,2024-08-08,administrative_expense,0.00,637.00,942607.00,Despesa administrativa recorrente
CF-0000011,2024-08-08,administrative_expense,0.00,800.00,941807.00,Despesa administrativa recorrente
CF-0000012,2024-08-08,administrative_expense,0.00,988.00,940819.00,Despesa administrativa recorrente
CF-0000013,2024-08-08,administrative_expense,0.00,711.00,940108.00,Despesa administrativa recorrente
CF-0000014,2024-08-08,administrative_expense,0.00,874.00,939234.00,Despesa administrativa recorrente
CF-0000015,2024-08-08,administrative_expense,0.00,1062.00,938172.00,Despesa administrativa recorrente
CF-0000016,2024-08-12,administrative_expense,0.00,562.00,937610.00,Despesa administrativa recorrente
CF-0000017,2024-08-12,administrative_expense,0.00,750.00,936860.00,Despesa administrativa recorrente
CF-0000018,2024-08-12,administrative_expense,0.00,913.00,935947.00,Despesa administrativa recorrente
CF-0000019,2024-08-12,administrative_expense,0.00,661.00,935286.00,Despesa administrativa recorrente
CF-0000020,2024-08-12,administrative_expense,0.00,824.00,934462.00,Despesa administrativa recorrente
CF-0000021,2024-08-12,administrative_expense,0.00,987.00,933475.00,Despesa administrativa recorrente
CF-0000022,2024-08-12,administrative_expense,0.00,1175.00,932300.00,Despesa administrativa recorrente
CF-0000023,2024-08-16,administrative_expense,0.00,675.00,931625.00,Despesa administrativa recorrente
CF-0000024,2024-08-16,administrative_expense,0.00,863.00,930762.00,Despesa administrativa recorrente
CF-0000025,2024-08-16,administrative_expense,0.00,586.00,930176.00,Despesa administrativa recorrente
CF-0000026,2024-08-16,administrative_expense,0.00,749.00,929427.00,Despesa administrativa recorrente
CF-0000027,2024-08-16,administrative_expense,0.00,937.00,928490.00,Despesa administrativa recorrente
CF-0000028,2024-08-16,administrative_expense,0.00,1100.00,927390.00,Despesa administrativa recorrente
CF-0000029,2024-08-16,administrative_expense,0.00,1288.00,926102.00,Despesa administrativa recorrente
CF-0000030,2024-08-20,administrative_expense,0.00,625.00,925477.00,Despesa administrativa recorrente
CF-0000031,2024-08-20,administrative_expense,0.00,788.00,924689.00,Despesa administrativa recorrente
CF-0000032,2024-08-20,administrative_expense,0.00,536.00,924153.00,Despesa administrativa recorrente
CF-0000033,2024-08-20,administrative_expense,0.00,699.00,923454.00,Despesa administrativa recorrente
CF-0000034,2024-08-20,administrative_expense,0.00,862.00,922592.00,Despesa administrativa recorrente
CF-0000035,2024-08-20,administrative_expense,0.00,1050.00,921542.00,Despesa administrativa recorrente
CF-0000036,2024-08-20,administrative_expense,0.00,1213.00,920329.00,Despesa administrativa recorrente
CF-0000037,2024-08-24,administrative_expense,0.00,738.00,919591.00,Despesa administrativa recorrente
CF-0000038,2024-08-24,administrative_expense,0.00,461.00,919130.00,Despesa administrativa recorrente
CF-0000039,2024-08-24,administrative_expense,0.00,649.00,918481.00,Despesa administrativa recorrente
CF-0000040,2024-08-24,administrative_expense,0.00,812.00,917669.00,Despesa administrativa recorrente
