source_record_id,transaction_date,cash_flow_type,account_type,cash_in_amount,cash_out_amount,operating_cash_flow_amount,description
SRC-FIN-IN-0000001,2024-09-14,operating,accounts_receivable,846.68,0.00,846.68,Recebimento titulo AR-0000001
SRC-FIN-IN-0000002,2024-09-29,operating,accounts_receivable,846.68,0.00,846.68,Recebimento titulo AR-0000002
SRC-FIN-IN-0000003,2024-10-16,operating,accounts_receivable,858.03,0.00,858.03,Recebimento titulo AR-0000003
SRC-FIN-IN-0000004,2024-10-31,operating,accounts_receivable,858.03,0.00,858.03,Recebimento titulo AR-0000004
SRC-FIN-IN-0000005,2024-11-16,operating,accounts_receivable,869.30,0.00,869.30,Recebimento titulo AR-0000005
SRC-FIN-IN-0000006,2024-12-01,operating,accounts_receivable,869.30,0.00,869.30,Recebimento titulo AR-0000006
SRC-FIN-IN-0000007,2024-12-18,operating,accounts_receivable,692.66,0.00,692.66,Recebimento titulo AR-0000007
SRC-FIN-IN-0000008,2025-01-02,operating,accounts_receivable,692.66,0.00,692.66,Recebimento titulo AR-0000008
SRC-FIN-IN-0000009,2025-01-17,operating,accounts_receivable,692.66,0.00,692.66,Recebimento titulo AR-0000009
SRC-FIN-IN-0000010,2025-01-18,operating,accounts_receivable,1065.85,0.00,1065.85,Recebimento titulo AR-0000010
SRC-FIN-IN-0000011,2025-02-02,operating,accounts_receivable,1065.85,0.00,1065.85,Recebimento titulo AR-0000011
SRC-FIN-IN-0000012,2025-02-19,operating,accounts_receivable,841.34,0.00,841.34,Recebimento titulo AR-0000012
SRC-FIN-IN-0000013,2025-03-06,operating,accounts_receivable,841.34,0.00,841.34,Recebimento titulo AR-0000013
SRC-FIN-IN-0000014,2025-03-24,operating,accounts_receivable,851.62,0.00,851.62,Recebimento titulo AR-0000014
SRC-FIN-IN-0000015,2025-04-08,operating,accounts_receivable,851.62,0.00,851.62,Recebimento titulo AR-0000015
SRC-FIN-IN-0000016,2025-04-23,operating,accounts_receivable,674.47,0.00,674.47,Recebimento titulo AR-0000016
SRC-FIN-IN-0000017,2025-05-08,operating,accounts_receivable,674.47,0.00,674.47,Recebimento titulo AR-0000017
SRC-FIN-IN-0000018,2025-05-23,operating,accounts_receivable,674.47,0.00,674.47,Recebimento titulo AR-0000018
SRC-FIN-IN-0000019,2025-05-23,operating,accounts_receivable,1023.62,0.00,1023.62,Recebimento titulo AR-0000019
SRC-FIN-IN-0000020,2025-06-07,operating,accounts_receivable,1023.62,0.00,1023.62,Recebimento titulo AR-0000020
SRC-FIN-IN-0000021,2025-06-23,operating,accounts_receivable,971.25,0.00,971.25,Recebimento titulo AR-0000021
SRC-FIN-IN-0000022,2025-07-08,operating,accounts_receivable,971.25,0.00,971.25,Recebimento titulo AR-0000022
SRC-FIN-IN-0000023,2025-07-25,operating,accounts_receivable,982.31,0.00,982.31,Recebimento titulo AR-0000023
SRC-FIN-IN-0000024,2025-08-09,operating,accounts_receivable,982.31,0.00,982.31,Recebimento titulo AR-0000024
SRC-FIN-IN-0000025,2025-09-09,operating,accounts_receivable,456.92,0.00,456.92,Recebimento titulo AR-0000025
SRC-FIN-IN-0000026,2025-09-24,operating,accounts_receivable,456.92,0.00,456.92,Recebimento titulo AR-0000026
SRC-FIN-IN-0000027,2025-10-09,operating,accounts_receivable,456.92,0.00,456.92,Recebimento titulo AR-0000027
SRC-FIN-IN-0000028,2025-10-24,operating,accounts_receivable,456.92,0.00,456.92,Recebimento titulo AR-0000028
