order_item_id,order_id,product_external_id,quantity,unit_price,line_total
OI-0000001,O-000001,PRD-00020,2,218.50,437.00
OI-0000002,O-000001,PRD-00039,3,145.67,437.01
OI-0000003,O-000001,PRD-00058,1,437.00,437.00
OI-0000004,O-000001,PRD-00077,2,218.50,437.00
OI-0000005,O-000001,PRD-00096,3,145.67,437.01
OI-0000006,O-000002,PRD-00115,2,222.00,444.00
OI-0000007,O-000002,PRD-00134,3,148.00,444.00
OI-0000008,O-000002,PRD-00153,1,444.00,444.00
OI-0000009,O-000002,PRD-00172,2,222.00,444.00
OI-0000010,O-000002,PRD-00191,3,148.00,444.00
OI-0000011,O-000003,PRD-00210,2,225.50,451.00
OI-0000012,O-000003,PRD-00229,3,150.33,450.99
OI-0000013,O-000003,PRD-00248,1,451.00,451.00
OI-0000014,O-000003,PRD-00267,2,225.50,451.00
OI-0000015,O-000003,PRD-00286,3,150.33,450.99
OI-0000016,O-000004,PRD-00305,2,270.22,540.44
OI-0000017,O-000004,PRD-00324,3,180.15,540.45
OI-0000018,O-000004,PRD-00343,1,540.44,540.44
OI-0000019,O-000004,PRD-00362,2,270.22,540.44
OI-0000020,O-000004,PRD-00381,3,180.15,540.45
OI-0000021,O-000005,PRD-00400,2,274.35,548.70
OI-0000022,O-000005,PRD-00419,3,182.90,548.70
OI-0000023,O-000005,PRD-00438,1,548.70,548.70
OI-0000024,O-000005,PRD-00457,2,274.35,548.70
OI-0000025,O-000005,PRD-00476,3,182.90,548.70
OI-0000026,O-000006,PRD-00495,2,217.12,434.24
OI-0000027,O-000006,PRD-00514,3,144.75,434.25
OI-0000028,O-000006,PRD-00533,1,434.24,434.24
OI-0000029,O-000006,PRD-00552,2,217.12,434.24
OI-0000030,O-000006,PRD-00571,3,144.75,434.25
OI-0000031,O-000007,PRD-00590,2,220.34,440.68
OI-0000032,O-000007,PRD-00609,3,146.89,440.67
OI-0000033,O-000007,PRD-00628,1,440.68,440.68
OI-0000034,O-000007,PRD-00647,2,220.34,440.68
OI-0000035,O-000007,PRD-00666,3,146.89,440.67
OI-0000036,O-000008,PRD-00685,2,262.44,524.88
OI-0000037,O-000008,PRD-00704,3,174.96,524.88
OI-0000038,O-000008,PRD-00723,1,524.88,524.88
OI-0000039,O-000008,PRD-00742,2,262.44,524.88
OI-0000040,O-000008,PRD-00761,3,174.96,524.88
OI-0000041,O-000009,PRD-00780,2,266.22,532.44
OI-0000042,O-000009,PRD-00799,3,177.48,532.44
OI-0000043,O-000009,PRD-00818,1,532.44,532.44
OI-0000044,O-000009,PRD-00837,2,266.22,532.44
OI-0000045,O-000009,PRD-00856,3,177.48,532.44
OI-0000046,O-000010,PRD-00875,2,250.00,500.00
OI-0000047,O-000010,PRD-00894,3,166.67,500.01
OI-0000048,O-000010,PRD-00913,1,500.00,500.00
OI-0000049,O-000010,PRD-00932,2,250.00,500.00
OI-0000050,O-000010,PRD-00951,3,166.67,500.01
OI-0000051,O-000011,PRD-00970,2,253.50,507.00
OI-0000052,O-000011,PRD-00989,3,169.00,507.00
OI-0000053,O-000011,PRD-01008,1,507.00,507.00
OI-0000054,O-000011,PRD-01027,2,253.50,507.00
OI-0000055,O-000011,PRD-01046,3,169.00,507.00
OI-0000056,O-000012,PRD-01065,2,236.44,472.88
OI-0000057,O-000012,PRD-01084,3,157.63,472.89
OI-0000058,O-000012,PRD-01103,1,472.88,472.88
OI-0000059,O-000012,PRD-01122,2,236.44,472.88
OI-0000060,O-000012,PRD-01141,3,157.63,472.89
OI-0000061,O-000013,PRD-01160,2,260.50,521.00
OI-0000062,O-000013,PRD-01179,3,173.67,521.01
OI-0000063,O-000013,PRD-01198,1,521.00,521.00
OI-0000064,O-000013,PRD-01217,2,260.50,521.00
OI-0000065,O-000013,PRD-01236,3,173.67,521.01
OI-0000066,O-000014,PRD-01255,2,262.42,524.84
OI-0000067,O-000014,PRD-01274,3,174.94,524.82
OI-0000068,O-000014,PRD-01293,1,524.83,524.83
OI-0000069,O-000014,PRD-01312,2,262.42,524.84
OI-0000070,O-000014,PRD-01331,3,174.94,524.82
OI-0000071,O-000015,PRD-01350,2,264.29,528.58
OI-0000072,O-000015,PRD-00019,3,176.19,528.57
OI-0000073,O-000015,PRD-00038,1,528.58,528.58
OI-0000074,O-000015,PRD-00057,2,264.29,528.58
OI-0000075,O-000015,PRD-00076,3,176.19,528.57
OI-0000076,O-000016,PRD-00095,2,314.02,628.04
OI-0000077,O-000016,PRD-00114,3,209.35,628.05
OI-0000078,O-000016,PRD-00133,1,628.05,628.05
OI-0000079,O-000016,PRD-00152,2,314.02,628.04
OI-0000080,O-000016,PRD-00171,3,209.35,628.05
OI-0000081,O-000017,PRD-00190,2,316.14,632.28
OI-0000082,O-000017,PRD-00209,3,210.76,632.28
OI-0000083,O-000017,PRD-00228,1,632.27,632.27
OI-0000084,O-000017,PRD-00247,2,316.14,632.28
OI-0000085,O-000017,PRD-00266,3,210.76,632.28
OI-0000086,O-000018,PRD-00285,2,248.09,496.18
OI-0000087,O-000018,PRD-00304,3,165.39,496.17
OI-0000088,O-000018,PRD-00323,1,496.17,496.17
OI-0000089,O-000018,PRD-00342,2,248.09,496.18
