order_id,company_id,customer_external_id,order_date,status,gross_amount,net_amount,sales_channel
O-000001,cmp_nova_distribuidora,CLI-0002,2024-08-02,faturado,2185.00,1693.37,Televendas
O-000002,cmp_nova_distribuidora,CLI-0003,2024-09-03,faturado,2220.00,1716.06,Representante
O-000003,cmp_nova_distribuidora,CLI-0004,2024-10-04,faturado,2255.00,1738.60,E-commerce B2B
O-000004,cmp_nova_distribuidora,CLI-0005,2024-11-05,faturado,2702.20,2077.99,Balcao
O-000005,cmp_nova_distribuidora,CLI-0006,2024-12-06,faturado,2743.50,2131.70,Televendas
O-000006,cmp_nova_distribuidora,CLI-0007,2025-01-07,faturado,2171.20,1682.68,Representante
O-000007,cmp_nova_distribuidora,CLI-0008,2025-02-08,faturado,2203.40,1703.23,E-commerce B2B
O-000008,cmp_nova_distribuidora,CLI-0009,2025-03-09,faturado,2624.40,2023.41,Balcao
O-000009,cmp_nova_distribuidora,CLI-0010,2025-04-10,faturado,2662.20,2047.23,Televendas
O-000010,cmp_nova_distribuidora,CLI-0011,2025-05-11,faturado,2500.00,1942.50,Representante
O-000011,cmp_nova_distribuidora,CLI-0012,2025-06-12,faturado,2535.00,1964.62,E-commerce B2B
O-000012,cmp_nova_distribuidora,CLI-0013,2025-07-13,faturado,2364.40,1827.68,Balcao
O-000013,cmp_nova_distribuidora,CLI-0014,2025-08-14,faturado,2605.00,2008.45,Televendas
O-000014,cmp_nova_distribuidora,CLI-0015,2025-09-15,faturado,2624.16,2015.09,Representante
O-000015,cmp_nova_distribuidora,CLI-0001,2025-10-16,faturado,2642.90,2047.72,E-commerce B2B
O-000016,cmp_nova_distribuidora,CLI-0002,2025-11-17,faturado,3140.24,2423.33,Balcao
O-000017,cmp_nova_distribuidora,CLI-0003,2025-12-18,faturado,3161.36,2429.83,Televendas
O-000018,cmp_nova_distribuidora,CLI-0004,2026-01-19,faturado,2480.87,1899.10,Representante
O-000019,cmp_nova_distribuidora,CLI-0005,2026-02-20,faturado,2496.57,1903.39,E-commerce B2B
O-000020,cmp_nova_distribuidora,CLI-0006,2026-03-21,faturado,2948.72,2268.45,Balcao
O-000021,cmp_nova_distribuidora,CLI-0007,2026-04-22,faturado,2966.24,2272.74,Televendas
O-000022,cmp_nova_distribuidora,CLI-0008,2026-05-23,faturado,2762.32,2107.92,Representante
O-000023,cmp_nova_distribuidora,CLI-0009,2026-06-24,faturado,2777.70,2111.04,E-commerce B2B
O-000024,cmp_nova_distribuidora,CLI-0010,2026-07-25,faturado,2569.25,1944.66,Balcao
O-000025,cmp_nova_distribuidora,CLI-0011,2024-08-26,faturado,3025.00,2350.42,Televendas
O-000026,cmp_nova_distribuidora,CLI-0012,2024-09-27,faturado,3060.00,2371.50,Representante
O-000027,cmp_nova_distribuidora,CLI-0013,2024-10-28,faturado,3095.00,2392.43,E-commerce B2B
O-000028,cmp_nova_distribuidora,CLI-0014,2024-11-01,faturado,3693.40,2847.61,Balcao
O-000029,cmp_nova_distribuidora,CLI-0015,2024-12-02,faturado,3734.70,2871.98,Televendas
O-000030,cmp_nova_distribuidora,CLI-0001,2025-01-03,faturado,2944.00,2287.49,Representante
O-000031,cmp_nova_distribuidora,CLI-0002,2025-02-04,faturado,2976.20,2306.55,E-commerce B2B
O-000032,cmp_nova_distribuidora,CLI-0003,2025-03-05,faturado,3531.60,2729.93,Balcao
O-000033,cmp_nova_distribuidora,CLI-0004,2025-04-06,faturado,3569.40,2752.00,Televendas
O-000034,cmp_nova_distribuidora,CLI-0005,2025-05-07,faturado,3340.00,2568.46,Representante
O-000035,cmp_nova_distribuidora,CLI-0596,2025-06-08,faturado,3375.00,2622.37,E-commerce B2B
O-000036,cmp_nova_distribuidora,CLI-0613,2025-07-09,faturado,3137.20,2431.32,Balcao
O-000037,cmp_nova_distribuidora,CLI-0010,2025-08-10,faturado,3445.00,2662.98,Televendas
O-000038,cmp_nova_distribuidora,CLI-0027,2025-09-11,faturado,3459.12,2663.18,Representante
O-000039,cmp_nova_distribuidora,CLI-0044,2025-10-12,faturado,3472.82,2662.96,E-commerce B2B
