payment_id,payable_id,supplier_id,payment_date,amount_paid,payment_method
PM-0000001,AP-0000001,SUP-006,2024-09-13,1842.00,TED
PM-0000002,AP-0000002,SUP-011,2024-10-16,1899.07,PIX
PM-0000003,AP-0000003,SUP-016,2024-11-17,1956.82,Boleto
PM-0000004,AP-0000004,SUP-021,2024-12-20,1007.62,TED
PM-0000005,AP-0000005,SUP-021,2025-01-07,1007.62,TED
PM-0000006,AP-0000006,SUP-026,2025-01-16,2074.32,PIX
PM-0000007,AP-0000007,SUP-031,2025-02-18,2134.08,Boleto
PM-0000008,AP-0000008,SUP-036,2025-03-23,2194.51,TED
PM-0000009,AP-0000009,SUP-041,2025-04-22,1127.81,PIX
PM-0000010,AP-0000010,SUP-041,2025-05-10,1127.81,PIX
PM-0000011,AP-0000011,SUP-046,2025-05-25,2317.39,Boleto
PM-0000012,AP-0000012,SUP-051,2025-06-21,2379.84,TED
PM-0000013,AP-0000013,SUP-056,2025-07-24,2442.96,PIX
PM-0000014,AP-0000014,SUP-061,2025-08-25,1253.38,Boleto
PM-0000015,AP-0000015,SUP-061,2025-09-12,1253.38,Boleto
PM-0000016,AP-0000016,SUP-066,2025-09-27,2571.22,TED
PM-0000017,AP-0000017,SUP-071,2025-10-30,2636.35,PIX
PM-0000018,AP-0000018,SUP-076,2025-11-26,2702.16,Boleto
PM-0000019,AP-0000019,SUP-081,2025-12-29,1384.32,TED
PM-0000020,AP-0000020,SUP-081,2026-01-16,1384.32,TED
PM-0000021,AP-0000021,SUP-001,2026-01-30,2835.79,PIX
PM-0000022,AP-0000022,SUP-006,2026-03-04,2903.62,Boleto
PM-0000023,AP-0000023,SUP-011,2026-04-06,2972.11,TED
PM-0000024,AP-0000024,SUP-016,2026-05-01,1520.64,PIX
PM-0000025,AP-0000025,SUP-016,2026-05-19,1520.64,PIX
PM-0000026,AP-0000026,SUP-021,2026-06-03,3111.12,Boleto
PM-0000027,AP-0000027,SUP-026,2026-07-05,3181.63,TED
PM-0000028,AP-0000028,SUP-031,2026-08-07,3252.82,PIX
PM-0000029,AP-0000029,SUP-036,2026-09-08,1662.34,Boleto
PM-0000030,AP-0000030,SUP-036,2026-09-26,1662.34,Boleto
PM-0000031,AP-0000031,SUP-041,2024-10-06,2850.00,TED
PM-0000032,AP-0000032,SUP-046,2024-11-08,2915.14,PIX
PM-0000033,AP-0000033,SUP-051,2024-12-10,2980.94,Boleto
PM-0000034,AP-0000034,SUP-056,2024-12-15,1523.71,TED
PM-0000035,AP-0000035,SUP-056,2025-01-02,1523.71,TED
PM-0000036,AP-0000036,SUP-061,2025-01-16,3114.58,PIX
PM-0000037,AP-0000037,SUP-066,2025-02-13,3182.40,Boleto
PM-0000038,AP-0000038,SUP-071,2025-03-18,3250.90,TED
PM-0000039,AP-0000039,SUP-076,2025-04-17,1660.03,PIX
PM-0000040,AP-0000040,SUP-076,2025-05-05,1660.03,PIX
PM-0000041,AP-0000041,SUP-081,2025-05-20,3389.90,Boleto
PM-0000042,AP-0000042,SUP-001,2025-06-21,3460.42,TED
PM-0000043,AP-0000043,SUP-006,2025-07-19,3531.60,PIX
PM-0000044,AP-0000044,SUP-011,2025-08-20,1801.73,Boleto
PM-0000045,AP-0000045,SUP-011,2025-09-07,1801.73,Boleto
PM-0000046,AP-0000046,SUP-016,2025-09-22,3675.98,TED
PM-0000047,AP-0000047,SUP-021,2025-10-25,3749.18,PIX
PM-0000048,AP-0000048,SUP-026,2025-11-26,3823.06,Boleto
PM-0000049,AP-0000049,SUP-031,2025-12-24,1948.80,TED
PM-0000050,AP-0000050,SUP-031,2026-01-11,1948.80,TED
PM-0000051,AP-0000051,SUP-036,2026-01-25,3972.82,PIX
PM-0000052,AP-0000052,SUP-041,2026-02-27,4048.70,Boleto
PM-0000053,AP-0000053,SUP-046,2026-04-01,4125.26,TED
PM-0000054,AP-0000054,SUP-051,2026-05-01,2101.25,PIX
PM-0000055,AP-0000055,SUP-051,2026-05-19,2101.25,PIX
PM-0000056,AP-0000056,SUP-056,2026-05-29,4280.40,Boleto
PM-0000057,AP-0000057,SUP-061,2026-06-30,4358.98,TED
PM-0000058,AP-0000058,SUP-066,2026-08-02,4438.22,PIX
PM-0000059,AP-0000059,SUP-071,2026-09-03,2259.07,Boleto
PM-0000060,AP-0000060,SUP-071,2026-09-21,2259.07,Boleto
PM-0000061,AP-0000061,SUP-076,2024-10-06,3858.00,TED
PM-0000062,AP-0000062,SUP-081,2024-11-03,3931.20,PIX
PM-0000063,AP-0000063,SUP-001,2024-12-05,4005.07,Boleto
PM-0000064,AP-0000064,SUP-006,2025-01-07,2039.81,TED
PM-0000065,AP-0000065,SUP-006,2025-01-25,2039.81,TED
PM-0000066,AP-0000066,SUP-011,2025-02-08,4154.83,PIX
PM-0000067,AP-0000067,SUP-016,2025-03-13,4230.72,Boleto
PM-0000068,AP-0000068,SUP-021,2025-04-10,4307.28,TED
PM-0000069,AP-0000069,SUP-026,2025-04-12,2192.26,PIX
PM-0000070,AP-0000070,SUP-026,2025-04-30,2192.26,PIX
PM-0000071,AP-0000071,SUP-031,2025-05-15,4462.42,Boleto
PM-0000072,AP-0000072,SUP-036,2025-06-16,4540.99,TED
PM-0000073,AP-0000073,SUP-041,2025-07-19,4620.24,PIX
PM-0000074,AP-0000074,SUP-046,2025-08-15,2350.08,Boleto
PM-0000075,AP-0000075,SUP-046,2025-09-02,2350.08,Boleto
PM-0000076,AP-0000076,SUP-051,2025-09-17,4780.75,TED
PM-0000077,AP-0000077,SUP-056,2025-10-20,4862.02,PIX
PM-0000078,AP-0000078,SUP-061,2025-11-21,4943.95,Boleto
PM-0000079,AP-0000079,SUP-066,2025-12-24,2513.28,TED
PM-0000080,AP-0000080,SUP-066,2026-01-11,2513.28,TED
PM-0000081,AP-0000081,SUP-071,2026-01-20,5109.84,PIX
PM-0000082,AP-0000082,SUP-076,2026-02-22,5193.79,Boleto
PM-0000083,AP-0000083,SUP-081,2026-03-27,5278.42,TED
PM-0000084,AP-0000084,SUP-001,2026-04-26,2681.86,PIX
PM-0000085,AP-0000085,SUP-001,2026-05-14,2681.86,PIX
PM-0000086,AP-0000086,SUP-006,2026-05-29,5449.68,Boleto
PM-0000087,AP-0000087,SUP-011,2026-06-25,5536.32,TED
PM-0000088,AP-0000088,SUP-016,2026-07-28,5623.63,PIX
PM-0000089,AP-0000089,SUP-021,2026-08-29,2855.81,Boleto
PM-0000090,AP-0000090,SUP-021,2026-09-16,2855.81,Boleto
PM-0000091,AP-0000091,SUP-026,2024-10-01,4866.00,TED
PM-0000092,AP-0000092,SUP-031,2024-11-03,4947.26,PIX
PM-0000093,AP-0000093,SUP-036,2024-11-30,5029.20,Boleto
PM-0000094,AP-0000094,SUP-041,2025-01-02,2555.90,TED
PM-0000095,AP-0000095,SUP-041,2025-01-20,2555.90,TED
PM-0000096,AP-0000096,SUP-046,2025-02-03,5195.09,PIX
PM-0000097,AP-0000097,SUP-051,2025-03-08,5279.04,Boleto
PM-0000098,AP-0000098,SUP-056,2025-04-10,5363.66,TED
PM-0000099,AP-0000099,SUP-061,2025-05-05,2724.48,PIX
PM-0000100,AP-0000100,SUP-061,2025-05-23,2724.48,PIX
PM-0000101,AP-0000101,SUP-066,2025-06-07,5534.93,Boleto
PM-0000102,AP-0000102,SUP-071,2025-07-09,5621.57,TED
PM-0000103,AP-0000103,SUP-076,2025-08-11,5708.88,PIX
PM-0000104,AP-0000104,SUP-081,2025-08-15,2898.43,Boleto
PM-0000105,AP-0000105,SUP-081,2025-09-02,2898.43,Boleto
PM-0000106,AP-0000106,SUP-001,2025-09-12,5885.52,TED
PM-0000107,AP-0000107,SUP-006,2025-10-15,5974.85,PIX
PM-0000108,AP-0000108,SUP-011,2025-11-16,6064.85,Boleto
PM-0000109,AP-0000109,SUP-016,2025-12-19,3077.76,TED
PM-0000110,AP-0000110,SUP-016,2026-01-06,3077.76,TED
PM-0000111,AP-0000111,SUP-021,2026-01-20,6246.86,PIX
PM-0000112,AP-0000112,SUP-026,2026-02-17,2044.80,Boleto
PM-0000113,AP-0000113,SUP-031,2026-03-22,2107.25,TED
PM-0000114,AP-0000114,SUP-036,2026-04-21,1085.18,PIX
PM-0000115,AP-0000115,SUP-036,2026-05-09,1085.18,PIX
PM-0000116,AP-0000116,SUP-041,2026-05-24,2234.16,Boleto
PM-0000117,AP-0000117,SUP-046,2026-06-25,2298.62,TED
PM-0000118,AP-0000118,SUP-051,2026-07-23,2363.76,PIX
PM-0000119,AP-0000119,SUP-056,2026-08-24,1214.78,Boleto
PM-0000120,AP-0000120,SUP-056,2026-09-11,1214.78,Boleto
PM-0000121,AP-0000121,SUP-061,2024-09-26,2094.00,TED
PM-0000122,AP-0000122,SUP-066,2024-10-29,2153.09,PIX
PM-0000123,AP-0000123,SUP-071,2024-11-30,2212.85,Boleto
PM-0000124,AP-0000124,SUP-076,2024-12-28,1136.64,TED
PM-0000125,AP-0000125,SUP-076,2025-01-15,1136.64,TED
PM-0000126,AP-0000126,SUP-081,2025-01-29,2334.38,PIX
PM-0000127,AP-0000127,SUP-001,2025-03-03,2396.16,Boleto
PM-0000128,AP-0000128,SUP-006,2025-04-05,2458.61,TED
PM-0000129,AP-0000129,SUP-011,2025-05-05,1260.86,PIX
PM-0000130,AP-0000130,SUP-011,2025-05-23,1260.86,PIX
PM-0000131,AP-0000131,SUP-016,2025-06-02,2585.52,Boleto
PM-0000132,AP-0000132,SUP-021,2025-07-04,2649.98,TED
PM-0000133,AP-0000133,SUP-026,2025-08-06,2715.12,PIX
PM-0000134,AP-0000134,SUP-031,2025-09-07,1390.46,Boleto
PM-0000135,AP-0000135,SUP-031,2025-09-25,1390.46,Boleto
PM-0000136,AP-0000136,SUP-036,2025-10-10,2847.41,TED
PM-0000137,AP-0000137,SUP-041,2025-11-07,2914.56,PIX
PM-0000138,AP-0000138,SUP-046,2025-12-09,2982.38,Boleto
PM-0000139,AP-0000139,SUP-051,2025-12-14,1525.44,TED
PM-0000140,AP-0000140,SUP-051,2026-01-01,1525.44,TED
PM-0000141,AP-0000141,SUP-056,2026-01-15,3120.05,PIX
PM-0000142,AP-0000142,SUP-061,2026-02-17,3189.89,Boleto
PM-0000143,AP-0000143,SUP-066,2026-03-17,3260.40,TED
PM-0000144,AP-0000144,SUP-071,2026-04-16,1665.79,PIX
PM-0000145,AP-0000145,SUP-071,2026-05-04,1665.79,PIX
PM-0000146,AP-0000146,SUP-076,2026-05-19,3403.44,Boleto
PM-0000147,AP-0000147,SUP-081,2026-06-20,3475.97,TED
PM-0000148,AP-0000148,SUP-001,2026-07-23,3549.17,PIX
PM-0000149,AP-0000149,SUP-006,2026-08-19,1811.52,Boleto
PM-0000150,AP-0000150,SUP-006,2026-09-06,1811.52,Boleto
PM-0000151,AP-0000151,SUP-011,2024-09-21,3102.00,TED
PM-0000152,AP-0000152,SUP-016,2024-10-24,3169.15,PIX
PM-0000153,AP-0000153,SUP-021,2024-11-25,3236.98,Boleto
PM-0000154,AP-0000154,SUP-026,2024-12-28,1652.74,TED
PM-0000155,AP-0000155,SUP-026,2025-01-15,1652.74,TED
PM-0000156,AP-0000156,SUP-031,2025-01-24,3374.64,PIX
PM-0000157,AP-0000157,SUP-036,2025-02-26,3444.48,Boleto
PM-0000158,AP-0000158,SUP-041,2025-03-31,3514.99,TED
PM-0000159,AP-0000159,SUP-046,2025-04-30,1793.09,PIX
PM-0000160,AP-0000160,SUP-046,2025-05-18,1793.09,PIX
PM-0000161,AP-0000161,SUP-051,2025-06-02,3658.03,Boleto
PM-0000162,AP-0000162,SUP-056,2025-06-29,3730.56,TED
PM-0000163,AP-0000163,SUP-061,2025-08-01,3803.76,PIX
PM-0000164,AP-0000164,SUP-066,2025-09-02,1938.82,Boleto
PM-0000165,AP-0000165,SUP-066,2025-09-20,1938.82,Boleto
PM-0000166,AP-0000166,SUP-071,2025-10-05,3952.18,TED
PM-0000167,AP-0000167,SUP-076,2025-11-07,4027.39,PIX
PM-0000168,AP-0000168,SUP-081,2025-12-04,4103.28,Boleto
PM-0000169,AP-0000169,SUP-001,2026-01-06,2089.92,TED
PM-0000170,AP-0000170,SUP-001,2026-01-24,2089.92,TED
PM-0000171,AP-0000171,SUP-006,2026-02-07,4257.07,PIX
PM-0000172,AP-0000172,SUP-011,2026-03-12,4334.98,Boleto
PM-0000173,AP-0000173,SUP-016,2026-04-14,4413.55,TED
PM-0000174,AP-0000174,SUP-021,2026-04-11,2246.40,PIX
PM-0000175,AP-0000175,SUP-021,2026-04-29,2246.40,PIX
PM-0000176,AP-0000176,SUP-026,2026-05-14,4572.72,Boleto
PM-0000177,AP-0000177,SUP-031,2026-06-15,4653.31,TED
PM-0000178,AP-0000178,SUP-036,2026-07-18,4734.58,PIX
PM-0000179,AP-0000179,SUP-041,2026-08-19,2408.26,Boleto
PM-0000180,AP-0000180,SUP-041,2026-09-06,2408.26,Boleto
PM-0000181,AP-0000181,SUP-046,2024-09-16,4110.00,TED
PM-0000182,AP-0000182,SUP-051,2024-10-19,4185.22,PIX
PM-0000183,AP-0000183,SUP-056,2024-11-20,4261.10,Boleto
PM-0000184,AP-0000184,SUP-061,2024-12-23,2168.83,TED
PM-0000185,AP-0000185,SUP-061,2025-01-10,2168.83,TED
PM-0000186,AP-0000186,SUP-066,2025-01-24,4414.90,PIX
PM-0000187,AP-0000187,SUP-071,2025-02-21,4492.80,Boleto
PM-0000188,AP-0000188,SUP-076,2025-03-26,4571.38,TED
PM-0000189,AP-0000189,SUP-081,2025-04-25,2325.31,PIX
PM-0000190,AP-0000190,SUP-081,2025-05-13,2325.31,PIX
PM-0000191,AP-0000191,SUP-001,2025-05-28,4730.54,Boleto
PM-0000192,AP-0000192,SUP-006,2025-06-29,4811.14,TED
PM-0000193,AP-0000193,SUP-011,2025-07-27,4892.40,PIX
PM-0000194,AP-0000194,SUP-016,2025-08-28,2487.17,Boleto
PM-0000195,AP-0000195,SUP-016,2025-09-15,2487.17,Boleto
PM-0000196,AP-0000196,SUP-021,2025-09-30,5056.94,TED
PM-0000197,AP-0000197,SUP-026,2025-11-02,5140.22,PIX
PM-0000198,AP-0000198,SUP-031,2025-12-04,5224.18,Boleto
PM-0000199,AP-0000199,SUP-036,2026-01-01,2654.40,TED
PM-0000200,AP-0000200,SUP-036,2026-01-19,2654.40,TED
PM-0000201,AP-0000201,SUP-041,2026-02-02,5394.10,PIX
PM-0000202,AP-0000202,SUP-046,2026-03-07,5480.06,Boleto
PM-0000203,AP-0000203,SUP-051,2026-04-09,5566.70,TED
PM-0000204,AP-0000204,SUP-056,2026-05-09,2827.01,PIX
PM-0000205,AP-0000205,SUP-056,2026-05-27,2827.01,PIX
PM-0000206,AP-0000206,SUP-061,2026-06-06,5742.00,Boleto
PM-0000207,AP-0000207,SUP-066,2026-07-08,5830.66,TED
PM-0000208,AP-0000208,SUP-071,2026-08-10,5919.98,PIX
PM-0000209,AP-0000209,SUP-076,2026-08-14,3004.99,Boleto
PM-0000210,AP-0000210,SUP-076,2026-09-01,3004.99,Boleto
PM-0000211,AP-0000211,SUP-081,2024-09-16,5118.00,TED
PM-0000212,AP-0000212,SUP-001,2024-10-14,5201.28,PIX
PM-0000213,AP-0000213,SUP-006,2024-11-15,5285.23,Boleto
PM-0000214,AP-0000214,SUP-011,2024-12-18,2684.93,TED
PM-0000215,AP-0000215,SUP-011,2025-01-05,2684.93,TED
PM-0000216,AP-0000216,SUP-016,2025-01-19,5455.15,PIX
PM-0000217,AP-0000217,SUP-021,2025-02-21,5541.12,Boleto
PM-0000218,AP-0000218,SUP-026,2025-03-21,5627.76,TED
PM-0000219,AP-0000219,SUP-031,2025-04-20,2857.54,PIX
PM-0000220,AP-0000220,SUP-031,2025-05-08,2857.54,PIX
PM-0000221,AP-0000221,SUP-036,2025-05-23,5803.06,Boleto
PM-0000222,AP-0000222,SUP-041,2025-06-24,5891.71,TED
PM-0000223,AP-0000223,SUP-046,2025-07-27,5981.04,PIX
PM-0000224,AP-0000224,SUP-051,2025-08-23,979.20,Boleto
PM-0000225,AP-0000225,SUP-051,2025-09-10,979.20,Boleto
PM-0000226,AP-0000226,SUP-056,2025-09-25,2018.83,TED
PM-0000227,AP-0000227,SUP-061,2025-10-28,2079.94,PIX
PM-0000228,AP-0000228,SUP-066,2025-11-29,2141.71,Boleto
PM-0000229,AP-0000229,SUP-071,2026-01-01,1102.08,TED
PM-0000230,AP-0000230,SUP-071,2026-01-19,1102.08,TED
PM-0000231,AP-0000231,SUP-076,2026-01-28,2267.28,PIX
PM-0000232,AP-0000232,SUP-081,2026-03-02,2331.07,Boleto
PM-0000233,AP-0000233,SUP-001,2026-04-04,2395.54,TED
PM-0000234,AP-0000234,SUP-006,2026-05-04,1230.34,PIX
PM-0000235,AP-0000235,SUP-006,2026-05-22,1230.34,PIX
PM-0000236,AP-0000236,SUP-011,2026-06-06,2526.48,Boleto
PM-0000237,AP-0000237,SUP-016,2026-07-03,2592.96,TED
PM-0000238,AP-0000238,SUP-021,2026-08-05,2660.11,PIX
PM-0000239,AP-0000239,SUP-026,2026-09-06,1363.97,Boleto
PM-0000240,AP-0000240,SUP-026,2026-09-24,1363.97,Boleto
PM-0000241,AP-0000241,SUP-031,2024-10-09,2346.00,TED
PM-0000242,AP-0000242,SUP-036,2024-11-11,2407.10,PIX
PM-0000243,AP-0000243,SUP-041,2024-12-08,2468.88,Boleto
PM-0000244,AP-0000244,SUP-046,2024-12-13,1265.66,TED
PM-0000245,AP-0000245,SUP-046,2024-12-31,1265.66,TED
PM-0000246,AP-0000246,SUP-051,2025-01-14,2594.45,PIX
PM-0000247,AP-0000247,SUP-056,2025-02-16,2658.24,Boleto
PM-0000248,AP-0000248,SUP-061,2025-03-21,2722.70,TED
PM-0000249,AP-0000249,SUP-066,2025-04-15,1393.92,PIX
PM-0000250,AP-0000250,SUP-066,2025-05-03,1393.92,PIX
PM-0000251,AP-0000251,SUP-071,2025-05-18,2853.65,Boleto
PM-0000252,AP-0000252,SUP-076,2025-06-19,2920.13,TED
PM-0000253,AP-0000253,SUP-081,2025-07-22,2987.28,PIX
PM-0000254,AP-0000254,SUP-001,2025-08-23,1527.55,Boleto
PM-0000255,AP-0000255,SUP-001,2025-09-10,1527.55,Boleto
PM-0000256,AP-0000256,SUP-006,2025-09-20,3123.60,TED
PM-0000257,AP-0000257,SUP-011,2025-10-23,3192.77,PIX
PM-0000258,AP-0000258,SUP-016,2025-11-24,3262.61,Boleto
PM-0000259,AP-0000259,SUP-021,2025-12-27,1666.56,TED
PM-0000260,AP-0000260,SUP-021,2026-01-14,1666.56,TED
PM-0000261,AP-0000261,SUP-026,2026-01-28,3404.30,PIX
PM-0000262,AP-0000262,SUP-031,2026-02-25,3476.16,Boleto
PM-0000263,AP-0000263,SUP-036,2026-03-30,3548.69,TED
PM-0000264,AP-0000264,SUP-041,2026-04-29,1810.94,PIX
PM-0000265,AP-0000265,SUP-041,2026-05-17,1810.94,PIX
PM-0000266,AP-0000266,SUP-046,2026-06-01,3695.76,Boleto
PM-0000267,AP-0000267,SUP-051,2026-07-03,3770.30,TED
PM-0000268,AP-0000268,SUP-056,2026-07-31,3845.52,PIX
PM-0000269,AP-0000269,SUP-061,2026-09-01,1960.70,Boleto
PM-0000270,AP-0000270,SUP-061,2026-09-19,1960.70,Boleto
PM-0000271,AP-0000271,SUP-066,2024-10-04,3354.00,TED
PM-0000272,AP-0000272,SUP-071,2024-11-06,3423.17,PIX
PM-0000273,AP-0000273,SUP-076,2024-12-08,3493.01,Boleto
PM-0000274,AP-0000274,SUP-081,2025-01-05,1781.76,TED
PM-0000275,AP-0000275,SUP-081,2025-01-23,1781.76,TED
PM-0000276,AP-0000276,SUP-001,2025-02-06,3634.70,PIX
PM-0000277,AP-0000277,SUP-006,2025-03-11,3706.56,Boleto
PM-0000278,AP-0000278,SUP-011,2025-04-13,3779.09,TED
PM-0000279,AP-0000279,SUP-016,2025-04-15,1926.14,PIX
PM-0000280,AP-0000280,SUP-016,2025-05-03,1926.14,PIX
PM-0000281,AP-0000281,SUP-021,2025-05-13,3926.16,Boleto
PM-0000282,AP-0000282,SUP-026,2025-06-14,4000.70,TED
PM-0000283,AP-0000283,SUP-031,2025-07-17,4075.92,PIX
PM-0000284,AP-0000284,SUP-036,2025-08-18,2075.90,Boleto
PM-0000285,AP-0000285,SUP-036,2025-09-05,2075.90,Boleto
PM-0000286,AP-0000286,SUP-041,2025-09-20,4228.37,TED
PM-0000287,AP-0000287,SUP-046,2025-10-18,4305.60,PIX
PM-0000288,AP-0000288,SUP-051,2025-11-19,4383.50,Boleto
PM-0000289,AP-0000289,SUP-056,2025-12-22,2231.04,TED
PM-0000290,AP-0000290,SUP-056,2026-01-09,2231.04,TED
PM-0000291,AP-0000291,SUP-061,2026-01-23,4541.33,PIX
PM-0000292,AP-0000292,SUP-066,2026-02-25,4621.25,Boleto
PM-0000293,AP-0000293,SUP-071,2026-03-25,4701.84,TED
PM-0000294,AP-0000294,SUP-076,2026-04-24,2391.55,PIX
PM-0000295,AP-0000295,SUP-076,2026-05-12,2391.55,PIX
PM-0000296,AP-0000296,SUP-081,2026-05-27,4865.04,Boleto
PM-0000297,AP-0000297,SUP-001,2026-06-28,4947.65,TED
PM-0000298,AP-0000298,SUP-006,2026-07-31,5030.93,PIX
PM-0000299,AP-0000299,SUP-011,2026-08-27,2557.44,Boleto
PM-0000300,AP-0000300,SUP-011,2026-09-14,2557.44,Boleto
PM-0000301,AP-0000301,SUP-016,2024-09-29,4362.00,TED
PM-0000302,AP-0000302,SUP-021,2024-11-01,4439.23,PIX
PM-0000303,AP-0000303,SUP-026,2024-12-03,4517.14,Boleto
PM-0000304,AP-0000304,SUP-031,2025-01-05,2297.86,TED
PM-0000305,AP-0000305,SUP-031,2025-01-23,2297.86,TED
PM-0000306,AP-0000306,SUP-036,2025-02-01,4674.96,PIX
PM-0000307,AP-0000307,SUP-041,2025-03-06,4754.88,Boleto
PM-0000308,AP-0000308,SUP-046,2025-04-08,4835.47,TED
PM-0000309,AP-0000309,SUP-051,2025-05-08,2458.37,PIX
PM-0000310,AP-0000310,SUP-051,2025-05-26,2458.37,PIX
PM-0000311,AP-0000311,SUP-056,2025-06-10,4998.67,Boleto
PM-0000312,AP-0000312,SUP-061,2025-07-07,5081.28,TED
PM-0000313,AP-0000313,SUP-066,2025-08-09,5164.56,PIX
PM-0000314,AP-0000314,SUP-071,2025-08-13,2624.26,Boleto
PM-0000315,AP-0000315,SUP-071,2025-08-31,2624.26,Boleto
PM-0000316,AP-0000316,SUP-076,2025-09-15,5333.14,TED
PM-0000317,AP-0000317,SUP-081,2025-10-18,5418.43,PIX
PM-0000318,AP-0000318,SUP-001,2025-11-14,5504.40,Boleto
PM-0000319,AP-0000319,SUP-006,2025-12-17,2795.52,TED
PM-0000320,AP-0000320,SUP-006,2026-01-04,2795.52,TED
PM-0000321,AP-0000321,SUP-011,2026-01-18,5678.35,PIX
PM-0000322,AP-0000322,SUP-016,2026-02-20,5766.34,Boleto
PM-0000323,AP-0000323,SUP-021,2026-03-25,5854.99,TED
PM-0000324,AP-0000324,SUP-026,2026-04-19,2972.16,PIX
PM-0000325,AP-0000325,SUP-026,2026-05-07,2972.16,PIX
PM-0000326,AP-0000326,SUP-031,2026-05-22,6034.32,Boleto
PM-0000327,AP-0000327,SUP-036,2026-06-23,6124.99,TED
PM-0000328,AP-0000328,SUP-041,2026-07-26,6216.34,PIX
PM-0000329,AP-0000329,SUP-046,2026-08-27,3154.18,Boleto
PM-0000330,AP-0000330,SUP-046,2026-09-14,3154.18,Boleto
PM-0000331,AP-0000331,SUP-051,2024-09-24,5370.00,TED
PM-0000332,AP-0000332,SUP-056,2024-10-27,5455.30,PIX
PM-0000333,AP-0000333,SUP-061,2024-11-28,5541.26,Boleto
PM-0000334,AP-0000334,SUP-066,2024-12-31,2813.95,TED
PM-0000335,AP-0000335,SUP-066,2025-01-18,2813.95,TED
