source_record_id,sku,name,category,unit_of_measure,status,default_cost,default_price,tax_profile_ref,external_id
SRC-PROD-00001,SKU-NDB-00001,Disjuntores Modelo 0001,Disjuntores,CX,active,8.90,12.28,ICMS18,PRD-00001
SRC-PROD-00002,SKU-NDB-00002,Tomadas e Interruptores Modelo 0002,Tomadas e Interruptores,MT,active,9.80,13.52,ICMS18,PRD-00002
SRC-PROD-00003,SKU-NDB-00003,Iluminacao LED Modelo 0003,Iluminacao LED,RL,active,10.70,14.77,ICMS18,PRD-00003
SRC-PROD-00004,SKU-NDB-00004,Conexoes PVC Modelo 0004,Conexoes PVC,UN,active,11.60,16.01,ICMS18,PRD-00004
SRC-PROD-00005,SKU-NDB-00005,Tubos e Eletrodutos Modelo 0005,Tubos e Eletrodutos,CX,active,12.50,17.25,ICMS18,PRD-00005
SRC-PROD-00006,SKU-NDB-00006,Bombas Hidraulicas Modelo 0006,Bombas Hidraulicas,MT,active,13.40,18.49,ICMS18,PRD-00006
SRC-PROD-00007,SKU-NDB-00007,Ferramentas Modelo 0007,Ferramentas,RL,active,14.30,18.30,ICMS18,PRD-00007
SRC-PROD-00008,SKU-NDB-00008,Fixacao Modelo 0008,Fixacao,UN,active,15.20,20.98,ICMS18,PRD-00008
SRC-PROD-00009,SKU-NDB-00009,Painel Eletrico Modelo 0009,Painel Eletrico,CX,active,16.10,22.22,ICMS18,PRD-00009
SRC-PROD-00010,SKU-NDB-00010,Valvulas Modelo 0010,Valvulas,MT,active,17.00,23.46,ICMS18,PRD-00010
SRC-PROD-00011,SKU-NDB-00011,Acessorios Hidraulicos Modelo 0011,Acessorios Hidraulicos,RL,active,17.90,24.70,ICMS18,PRD-00011
SRC-PROD-00012,SKU-NDB-00012,Cabos e Fios Modelo 0012,Cabos e Fios,UN,active,18.80,25.94,ICMS18,PRD-00012
SRC-PROD-00013,SKU-NDB-00013,Disjuntores Modelo 0013,Disjuntores,CX,active,19.70,27.19,ICMS18,PRD-00013
SRC-PROD-00014,SKU-NDB-00014,Tomadas e Interruptores Modelo 0014,Tomadas e Interruptores,MT,active,20.60,26.37,ICMS18,PRD-00014
SRC-PROD-00015,SKU-NDB-00015,Iluminacao LED Modelo 0015,Iluminacao LED,RL,active,21.50,29.67,ICMS18,PRD-00015
SRC-PROD-00016,SKU-NDB-00016,Conexoes PVC Modelo 0016,Conexoes PVC,UN,active,22.40,30.91,ICMS18,PRD-00016
SRC-PROD-00017,SKU-NDB-00017,Tubos e Eletrodutos Modelo 0017,Tubos e Eletrodutos,CX,active,23.30,32.15,ICMS18,PRD-00017
SRC-PROD-00018,SKU-NDB-00018,Bombas Hidraulicas Modelo 0018,Bombas Hidraulicas,MT,active,24.20,33.40,ICMS18,PRD-00018
SRC-PROD-00019,SKU-NDB-00019,Ferramentas Modelo 0019,Ferramentas,RL,active,25.10,34.64,ICMS18,PRD-00019
SRC-PROD-00020,SKU-NDB-00020,Fixacao Modelo 0020,Fixacao,UN,active,26.00,35.88,ICMS18,PRD-00020
SRC-PROD-00021,SKU-NDB-00021,Painel Eletrico Modelo 0021,Painel Eletrico,CX,active,26.90,34.43,ICMS18,PRD-00021
SRC-PROD-00022,SKU-NDB-00022,Valvulas Modelo 0022,Valvulas,MT,active,27.80,38.36,ICMS18,PRD-00022
SRC-PROD-00023,SKU-NDB-00023,Acessorios Hidraulicos Modelo 0023,Acessorios Hidraulicos,RL,active,28.70,39.61,ICMS18,PRD-00023
SRC-PROD-00024,SKU-NDB-00024,Cabos e Fios Modelo 0024,Cabos e Fios,UN,active,29.60,40.85,ICMS18,PRD-00024
SRC-PROD-00025,SKU-NDB-00025,Disjuntores Modelo 0025,Disjuntores,CX,active,30.50,42.09,ICMS18,PRD-00025
SRC-PROD-00026,SKU-NDB-00026,Tomadas e Interruptores Modelo 0026,Tomadas e Interruptores,MT,active,31.40,43.33,ICMS18,PRD-00026
SRC-PROD-00027,SKU-NDB-00027,Iluminacao LED Modelo 0027,Iluminacao LED,RL,active,32.30,44.57,ICMS18,PRD-00027
SRC-PROD-00028,SKU-NDB-00028,Conexoes PVC Modelo 0028,Conexoes PVC,UN,active,33.20,42.50,ICMS18,PRD-00028
SRC-PROD-00029,SKU-NDB-00029,Tubos e Eletrodutos Modelo 0029,Tubos e Eletrodutos,CX,active,34.10,47.06,ICMS18,PRD-00029
SRC-PROD-00030,SKU-NDB-00030,Bombas Hidraulicas Modelo 0030,Bombas Hidraulicas,MT,active,35.00,48.30,ICMS18,PRD-00030
SRC-PROD-00031,SKU-NDB-00031,Ferramentas Modelo 0031,Ferramentas,RL,active,35.90,49.54,ICMS18,PRD-00031
SRC-PROD-00032,SKU-NDB-00032,Fixacao Modelo 0032,Fixacao,UN,active,36.80,50.78,ICMS18,PRD-00032
SRC-PROD-00033,SKU-NDB-00033,Painel Eletrico Modelo 0033,Painel Eletrico,CX,active,37.70,52.03,ICMS18,PRD-00033
SRC-PROD-00034,SKU-NDB-00034,Valvulas Modelo 0034,Valvulas,MT,active,38.60,53.27,ICMS18,PRD-00034
SRC-PROD-00035,SKU-NDB-00035,Acessorios Hidraulicos Modelo 0035,Acessorios Hidraulicos,RL,active,39.50,50.56,ICMS18,PRD-00035
SRC-PROD-00036,SKU-NDB-00036,Cabos e Fios Modelo 0036,Cabos e Fios,UN,active,40.40,55.75,ICMS18,PRD-00036
SRC-PROD-00037,SKU-NDB-00037,Disjuntores Modelo 0037,Disjuntores,CX,active,41.30,56.99,ICMS18,PRD-00037
SRC-PROD-00038,SKU-NDB-00038,Tomadas e Interruptores Modelo 0038,Tomadas e Interruptores,MT,active,42.20,58.24,ICMS18,PRD-00038
SRC-PROD-00039,SKU-NDB-00039,Iluminacao LED Modelo 0039,Iluminacao LED,RL,active,43.10,59.48,ICMS18,PRD-00039
SRC-PROD-00040,SKU-NDB-00040,Conexoes PVC Modelo 0040,Conexoes PVC,UN,active,44.00,60.72,ICMS18,PRD-00040
SRC-PROD-00041,SKU-NDB-00041,Tubos e Eletrodutos Modelo 0041,Tubos e Eletrodutos,CX,inactive,44.90,61.96,ICMS18,PRD-00041
SRC-PROD-00042,SKU-NDB-00042,Bombas Hidraulicas Modelo 0042,Bombas Hidraulicas,MT,active,45.80,58.62,ICMS18,PRD-00042
SRC-PROD-00043,SKU-NDB-00043,Ferramentas Modelo 0043,Ferramentas,RL,active,46.70,64.45,ICMS18,PRD-00043
SRC-PROD-00044,SKU-NDB-00044,Fixacao Modelo 0044,Fixacao,UN,active,47.60,65.69,ICMS18,PRD-00044
SRC-PROD-00045,SKU-NDB-00045,Painel Eletrico Modelo 0045,Painel Eletrico,CX,active,48.50,66.93,ICMS18,PRD-00045
SRC-PROD-00046,SKU-NDB-00046,Valvulas Modelo 0046,Valvulas,MT,active,49.40,68.17,ICMS18,PRD-00046
SRC-PROD-00047,SKU-NDB-00047,Acessorios Hidraulicos Modelo 0047,Acessorios Hidraulicos,RL,active,50.30,69.41,ICMS18,PRD-00047
SRC-PROD-00048,SKU-NDB-00048,Cabos e Fios Modelo 0048,Cabos e Fios,UN,active,51.20,70.66,ICMS18,PRD-00048
SRC-PROD-00049,SKU-NDB-00049,Disjuntores Modelo 0049,Disjuntores,CX,active,52.10,66.69,ICMS18,PRD-00049
SRC-PROD-00050,SKU-NDB-00050,Tomadas e Interruptores Modelo 0050,Tomadas e Interruptores,MT,active,53.00,73.14,ICMS18,PRD-00050
SRC-PROD-00051,SKU-NDB-00051,Iluminacao LED Modelo 0051,Iluminacao LED,RL,active,53.90,74.38,ICMS18,PRD-00051
SRC-PROD-00052,SKU-NDB-00052,Conexoes PVC Modelo 0052,Conexoes PVC,UN,active,54.80,75.62,ICMS18,PRD-00052
SRC-PROD-00053,SKU-NDB-00053,Tubos e Eletrodutos Modelo 0053,Tubos e Eletrodutos,CX,active,55.70,76.87,ICMS18,PRD-00053
SRC-PROD-00054,SKU-NDB-00054,Bombas Hidraulicas Modelo 0054,Bombas Hidraulicas,MT,active,56.60,78.11,ICMS18,PRD-00054
SRC-PROD-00055,SKU-NDB-00055,Ferramentas Modelo 0055,Ferramentas,RL,active,57.50,79.35,ICMS18,PRD-00055
SRC-PROD-00056,SKU-NDB-00056,Fixacao Modelo 0056,Fixacao,UN,active,58.40,74.75,ICMS18,PRD-00056
SRC-PROD-00057,SKU-NDB-00057,Painel Eletrico Modelo 0057,Painel Eletrico,CX,active,59.30,81.83,ICMS18,PRD-00057
SRC-PROD-00058,SKU-NDB-00058,Valvulas Modelo 0058,Valvulas,MT,active,60.20,83.08,ICMS18,PRD-00058
SRC-PROD-00059,SKU-NDB-00059,Acessorios Hidraulicos Modelo 0059,Acessorios Hidraulicos,RL,active,61.10,84.32,ICMS18,PRD-00059
