purchase_id,supplier_id,purchase_date,expected_delivery_date,actual_delivery_date,status,gross_amount,delay_days
PO-000001,SUP-006,2024-08-02,2024-08-13,2024-08-14,entregue,1842.00,1
PO-000002,SUP-011,2024-09-03,2024-09-15,2024-09-25,entregue,1899.07,10
PO-000003,SUP-016,2024-10-04,2024-10-17,2024-10-17,entregue,1956.82,0
PO-000004,SUP-021,2024-11-05,2024-11-19,2024-11-20,entregue,2015.23,1
PO-000005,SUP-026,2024-12-06,2024-12-21,2024-12-23,entregue,2074.32,2
PO-000006,SUP-031,2025-01-07,2025-01-23,2025-01-23,entregue,2134.08,0
PO-000007,SUP-036,2025-02-08,2025-02-25,2025-02-26,entregue,2194.51,1
PO-000008,SUP-041,2025-03-09,2025-03-27,2025-03-29,entregue,2255.62,2
PO-000009,SUP-046,2025-04-10,2025-04-29,2025-04-29,entregue,2317.39,0
PO-000010,SUP-051,2025-05-11,2025-05-31,2025-06-01,entregue,2379.84,1
PO-000011,SUP-056,2025-06-12,2025-07-03,2025-07-05,entregue,2442.96,2
PO-000012,SUP-061,2025-07-13,2025-08-04,2025-08-04,entregue,2506.75,0
PO-000013,SUP-066,2025-08-14,2025-09-06,2025-09-07,entregue,2571.22,1
PO-000014,SUP-071,2025-09-15,2025-10-09,2025-10-11,entregue,2636.35,2
PO-000015,SUP-076,2025-10-16,2025-11-10,2025-11-10,entregue,2702.16,0
PO-000016,SUP-081,2025-11-17,2025-12-13,2025-12-14,entregue,2768.64,1
PO-000017,SUP-001,2025-12-18,2026-01-14,2026-01-16,entregue,2835.79,2
PO-000018,SUP-006,2026-01-19,2026-01-29,2026-01-29,entregue,2903.62,0
PO-000019,SUP-011,2026-02-20,2026-03-03,2026-03-16,entregue,2972.11,13
PO-000020,SUP-016,2026-03-21,2026-04-02,2026-04-04,entregue,3041.28,2
PO-000021,SUP-021,2026-04-22,2026-05-05,2026-05-05,entregue,3111.12,0
PO-000022,SUP-026,2026-05-23,2026-06-06,2026-06-07,entregue,3181.63,1
PO-000023,SUP-031,2026-06-24,2026-07-09,2026-07-11,aberto,3252.82,2
PO-000024,SUP-036,2026-07-25,2026-08-10,2026-08-10,aberto,3324.67,0
PO-000025,SUP-041,2024-08-26,2024-09-12,2024-09-13,entregue,2850.00,1
PO-000026,SUP-046,2024-09-27,2024-10-15,2024-10-17,entregue,2915.14,2
PO-000027,SUP-051,2024-10-28,2024-11-16,2024-11-16,entregue,2980.94,0
PO-000028,SUP-056,2024-11-01,2024-11-21,2024-11-22,entregue,3047.42,1
PO-000029,SUP-061,2024-12-02,2024-12-23,2024-12-25,entregue,3114.58,2
PO-000030,SUP-066,2025-01-03,2025-01-25,2025-01-25,entregue,3182.40,0
PO-000031,SUP-071,2025-02-04,2025-02-27,2025-02-28,entregue,3250.90,1
PO-000032,SUP-076,2025-03-05,2025-03-29,2025-03-31,entregue,3320.06,2
PO-000033,SUP-081,2025-04-06,2025-05-01,2025-05-01,entregue,3389.90,0
PO-000034,SUP-001,2025-05-07,2025-06-02,2025-06-03,entregue,3460.42,1
PO-000035,SUP-006,2025-06-08,2025-07-05,2025-07-07,entregue,3531.60,2
PO-000036,SUP-011,2025-07-09,2025-07-19,2025-07-28,entregue,3603.46,9
PO-000037,SUP-016,2025-08-10,2025-08-21,2025-08-22,entregue,3675.98,1
PO-000038,SUP-021,2025-09-11,2025-09-23,2025-09-25,entregue,3749.18,2
PO-000039,SUP-026,2025-10-12,2025-10-25,2025-10-25,entregue,3823.06,0
PO-000040,SUP-031,2025-11-13,2025-11-27,2025-11-28,entregue,3897.60,1
PO-000041,SUP-036,2025-12-14,2025-12-29,2025-12-31,entregue,3972.82,2
PO-000042,SUP-041,2026-01-15,2026-01-31,2026-01-31,entregue,4048.70,0
PO-000043,SUP-046,2026-02-16,2026-03-05,2026-03-06,entregue,4125.26,1
