receipt_id,receivable_id,customer_external_id,received_date,amount_received,payment_method
RC-0000001,AR-0000001,CLI-0002,2024-09-14,846.68,PIX
RC-0000002,AR-0000002,CLI-0002,2024-09-29,846.68,PIX
RC-0000003,AR-0000003,CLI-0003,2024-10-16,858.03,Transferencia
RC-0000004,AR-0000004,CLI-0003,2024-10-31,858.03,Transferencia
RC-0000005,AR-0000005,CLI-0004,2024-11-16,869.30,Boleto
RC-0000006,AR-0000006,CLI-0004,2024-12-01,869.30,Boleto
RC-0000007,AR-0000007,CLI-0005,2024-12-18,692.66,PIX
RC-0000008,AR-0000008,CLI-0005,2025-01-02,692.66,PIX
RC-0000009,AR-0000009,CLI-0005,2025-01-17,692.66,PIX
RC-0000010,AR-0000010,CLI-0006,2025-01-18,1065.85,Transferencia
RC-0000011,AR-0000011,CLI-0006,2025-02-02,1065.85,Transferencia
RC-0000012,AR-0000012,CLI-0007,2025-02-19,841.34,Boleto
RC-0000013,AR-0000013,CLI-0007,2025-03-06,841.34,Boleto
RC-0000014,AR-0000014,CLI-0008,2025-03-24,851.62,PIX
RC-0000015,AR-0000015,CLI-0008,2025-04-08,851.62,PIX
RC-0000016,AR-0000016,CLI-0009,2025-04-23,674.47,Transferencia
RC-0000017,AR-0000017,CLI-0009,2025-05-08,674.47,Transferencia
RC-0000018,AR-0000018,CLI-0009,2025-05-23,674.47,Transferencia
RC-0000019,AR-0000019,CLI-0010,2025-05-23,1023.62,Boleto
RC-0000020,AR-0000020,CLI-0010,2025-06-07,1023.62,Boleto
RC-0000021,AR-0000021,CLI-0011,2025-06-23,971.25,PIX
RC-0000022,AR-0000022,CLI-0011,2025-07-08,971.25,PIX
RC-0000023,AR-0000023,CLI-0012,2025-07-25,982.31,Transferencia
RC-0000024,AR-0000024,CLI-0012,2025-08-09,982.31,Transferencia
RC-0000025,AR-0000025,CLI-0013,2025-09-09,456.92,Boleto
RC-0000026,AR-0000026,CLI-0013,2025-09-24,456.92,Boleto
RC-0000027,AR-0000027,CLI-0013,2025-10-09,456.92,Boleto
RC-0000028,AR-0000028,CLI-0013,2025-10-24,456.92,Boleto
RC-0000029,AR-0000029,CLI-0014,2025-09-26,1004.22,PIX
RC-0000030,AR-0000030,CLI-0014,2025-10-11,1004.22,PIX
RC-0000031,AR-0000031,CLI-0015,2025-10-28,1007.54,Transferencia
RC-0000032,AR-0000032,CLI-0015,2025-11-12,1007.54,Transferencia
RC-0000033,AR-0000033,CLI-0001,2025-11-28,1023.86,Boleto
RC-0000034,AR-0000034,CLI-0001,2025-12-13,1023.86,Boleto
RC-0000035,AR-0000035,CLI-0002,2025-12-31,807.78,PIX
RC-0000036,AR-0000036,CLI-0002,2026-01-15,807.78,PIX
RC-0000037,AR-0000037,CLI-0002,2026-01-30,807.78,PIX
RC-0000038,AR-0000038,CLI-0003,2026-02-13,1214.92,Transferencia
RC-0000039,AR-0000039,CLI-0003,2026-02-28,1214.92,Transferencia
RC-0000040,AR-0000040,CLI-0004,2026-03-09,949.55,Boleto
RC-0000041,AR-0000041,CLI-0004,2026-03-24,949.55,Boleto
RC-0000042,AR-0000042,CLI-0005,2026-04-11,951.70,PIX
RC-0000043,AR-0000043,CLI-0005,2026-04-26,951.70,PIX
RC-0000044,AR-0000044,CLI-0006,2026-05-11,567.11,Transferencia
RC-0000045,AR-0000045,CLI-0006,2026-05-26,567.11,Transferencia
RC-0000046,AR-0000046,CLI-0006,2026-06-10,567.11,Transferencia
RC-0000047,AR-0000047,CLI-0006,2026-06-25,567.11,Transferencia
RC-0000048,AR-0000048,CLI-0007,2026-06-13,1136.37,Boleto
RC-0000049,AR-0000049,CLI-0007,2026-06-28,1136.37,Boleto
RC-0000050,AR-0000050,CLI-0008,2026-07-15,1053.96,PIX
RC-0000051,AR-0000051,CLI-0008,2026-07-30,1053.96,PIX
RC-0000052,AR-0000052,CLI-0009,2026-08-17,1055.52,Transferencia
RC-0000053,AR-0000053,CLI-0009,2026-09-01,1055.52,Transferencia
RC-0000054,AR-0000054,CLI-0010,2026-09-18,486.16,Boleto
RC-0000055,AR-0000055,CLI-0010,2026-10-03,486.16,Boleto
RC-0000056,AR-0000056,CLI-0010,2026-10-18,486.16,Boleto
RC-0000057,AR-0000057,CLI-0010,2026-11-02,486.16,Boleto
RC-0000058,AR-0000058,CLI-0011,2024-10-09,1175.21,PIX
RC-0000059,AR-0000059,CLI-0011,2024-10-24,1175.21,PIX
RC-0000060,AR-0000060,CLI-0012,2024-11-11,1185.75,Transferencia
RC-0000061,AR-0000061,CLI-0012,2024-11-26,1185.75,Transferencia
RC-0000062,AR-0000062,CLI-0013,2024-12-22,1196.22,Boleto
RC-0000063,AR-0000063,CLI-0013,2025-01-06,1196.22,Boleto
RC-0000064,AR-0000064,CLI-0014,2024-12-14,949.20,PIX
RC-0000065,AR-0000065,CLI-0014,2024-12-29,949.20,PIX
RC-0000066,AR-0000066,CLI-0014,2025-01-13,949.20,PIX
RC-0000067,AR-0000067,CLI-0015,2025-01-14,1435.99,Transferencia
RC-0000068,AR-0000068,CLI-0015,2025-01-29,1435.99,Transferencia
RC-0000069,AR-0000069,CLI-0001,2025-02-15,1143.74,Boleto
RC-0000070,AR-0000070,CLI-0001,2025-03-02,1143.74,Boleto
RC-0000071,AR-0000071,CLI-0002,2025-03-19,1153.28,PIX
RC-0000072,AR-0000072,CLI-0002,2025-04-03,1153.28,PIX
RC-0000073,AR-0000073,CLI-0003,2025-04-17,909.98,Transferencia
RC-0000074,AR-0000074,CLI-0003,2025-05-02,909.98,Transferencia
RC-0000075,AR-0000075,CLI-0003,2025-05-17,909.98,Transferencia
RC-0000076,AR-0000076,CLI-0004,2025-05-19,1376.00,Boleto
RC-0000077,AR-0000077,CLI-0004,2025-06-03,1376.00,Boleto
RC-0000078,AR-0000078,CLI-0005,2025-06-20,1284.23,PIX
RC-0000079,AR-0000079,CLI-0005,2025-07-05,1284.23,PIX
RC-0000080,AR-0000080,CLI-0596,2025-07-23,1311.18,Transferencia
RC-0000081,AR-0000081,CLI-0596,2025-08-07,1311.18,Transferencia
RC-0000082,AR-0000082,CLI-0613,2025-08-21,607.83,Boleto
RC-0000083,AR-0000083,CLI-0613,2025-09-05,607.83,Boleto
RC-0000084,AR-0000084,CLI-0613,2025-09-20,607.83,Boleto
RC-0000085,AR-0000085,CLI-0613,2025-10-05,607.83,Boleto
RC-0000086,AR-0000086,CLI-0010,2025-09-22,1331.49,PIX
RC-0000087,AR-0000087,CLI-0010,2025-10-07,1331.49,PIX
RC-0000088,AR-0000088,CLI-0027,2025-10-24,1331.59,Transferencia
RC-0000089,AR-0000089,CLI-0027,2025-11-08,1331.59,Transferencia
RC-0000090,AR-0000090,CLI-0044,2025-11-24,1331.48,Boleto
RC-0000091,AR-0000091,CLI-0044,2025-12-09,1331.48,Boleto
RC-0000092,AR-0000092,CLI-0061,2025-12-26,795.67,PIX
RC-0000093,AR-0000093,CLI-0061,2026-01-10,795.67,PIX
RC-0000094,AR-0000094,CLI-0061,2026-01-25,795.67,PIX
RC-0000095,AR-0000095,CLI-0061,2026-02-09,795.67,PIX
RC-0000096,AR-0000098,CLI-0095,2026-03-11,1239.70,Boleto
RC-0000097,AR-0000099,CLI-0095,2026-03-26,1239.70,Boleto
RC-0000098,AR-0000100,CLI-0112,2026-04-13,1238.92,PIX
RC-0000099,AR-0000101,CLI-0112,2026-04-28,1238.92,PIX
RC-0000100,AR-0000102,CLI-0129,2026-05-13,968.83,Transferencia
RC-0000101,AR-0000103,CLI-0129,2026-05-28,968.83,Transferencia
RC-0000102,AR-0000104,CLI-0129,2026-06-12,968.83,Transferencia
RC-0000103,AR-0000105,CLI-0146,2026-06-06,1471.06,Boleto
RC-0000104,AR-0000106,CLI-0146,2026-06-21,1471.06,Boleto
RC-0000105,AR-0000107,CLI-0163,2026-07-08,1360.72,PIX
RC-0000106,AR-0000108,CLI-0163,2026-07-23,1360.72,PIX
RC-0000107,AR-0000109,CLI-0180,2026-08-10,1359.14,Transferencia
RC-0000108,AR-0000110,CLI-0180,2026-08-25,1359.14,Transferencia
RC-0000109,AR-0000111,CLI-0197,2026-09-11,624.39,Boleto
RC-0000110,AR-0000112,CLI-0197,2026-09-26,624.39,Boleto
RC-0000111,AR-0000113,CLI-0197,2026-10-11,624.39,Boleto
RC-0000112,AR-0000114,CLI-0197,2026-10-26,624.39,Boleto
RC-0000113,AR-0000115,CLI-0214,2024-10-04,1486.09,PIX
RC-0000114,AR-0000116,CLI-0214,2024-10-19,1486.09,PIX
RC-0000115,AR-0000117,CLI-0231,2024-11-05,1515.15,Transferencia
