source_record_id,transaction_date,invoice_id,invoice_line_id,product_external_id,customer_external_id,gross_revenue,tax_amount,discount_amount,return_amount,net_revenue,quantity_sold,cogs_amount
SRC-SALE-000001,2024-08-02,NF-000001,1,PRD-00014,CLI-0002,2185.00,393.30,80.85,17.48,1693.37,2,1311.00
SRC-SALE-000002,2024-09-03,NF-000002,1,PRD-00027,CLI-0003,2220.00,399.60,86.58,17.76,1716.06,3,1341.32
SRC-SALE-000003,2024-10-04,NF-000003,1,PRD-00040,CLI-0004,2255.00,405.90,92.46,18.04,1738.60,4,1371.94
SRC-SALE-000004,2024-11-05,NF-000004,1,PRD-00053,CLI-0005,2702.20,486.40,116.19,21.62,2077.99,5,1655.37
SRC-SALE-000005,2024-12-06,NF-000005,1,PRD-00066,CLI-0006,2743.50,493.83,96.02,21.95,2131.70,6,1692.19
SRC-SALE-000006,2025-01-07,NF-000006,1,PRD-00079,CLI-0007,2171.20,390.82,80.33,17.37,1682.68,7,1348.32
SRC-SALE-000007,2025-02-08,NF-000007,1,PRD-00092,CLI-0008,2203.40,396.61,85.93,17.63,1703.23,8,1377.57
SRC-SALE-000008,2025-03-09,NF-000008,1,PRD-00105,CLI-0009,2624.40,472.39,107.60,21.00,2023.41,9,1651.80
SRC-SALE-000009,2025-04-10,NF-000009,1,PRD-00118,CLI-0010,2662.20,479.20,114.47,21.30,2047.23,1,1686.77
SRC-SALE-000010,2025-05-11,NF-000010,1,PRD-00131,CLI-0011,2500.00,450.00,87.50,20.00,1942.50,2,1594.50
SRC-SALE-000011,2025-06-12,NF-000011,1,PRD-00144,CLI-0012,2535.00,456.30,93.80,20.28,1964.62,3,1627.47
SRC-SALE-000012,2025-07-13,NF-000012,1,PRD-00157,CLI-0013,2364.40,425.59,92.21,18.92,1827.68,4,1527.88
SRC-SALE-000013,2025-08-14,NF-000013,1,PRD-00170,CLI-0014,2605.00,468.90,106.81,20.84,2008.45,5,1694.29
SRC-SALE-000014,2025-09-15,NF-000014,1,PRD-00183,CLI-0015,2624.16,472.35,112.84,23.88,2015.09,6,1717.78
SRC-SALE-000015,2025-10-16,NF-000015,1,PRD-00196,CLI-0001,2642.90,475.72,92.50,26.96,2047.72,7,1741.14
SRC-SALE-000016,2025-11-17,NF-000016,1,PRD-00209,CLI-0002,3140.24,565.24,116.19,35.48,2423.33,8,2081.98
SRC-SALE-000017,2025-12-18,NF-000017,1,PRD-00222,CLI-0003,3161.36,569.04,123.29,39.20,2429.83,9,2109.26
SRC-SALE-000018,2026-01-19,NF-000018,1,PRD-00235,CLI-0004,2480.87,446.56,101.72,33.49,1899.10,1,1665.66
SRC-SALE-000019,2026-02-20,NF-000019,1,PRD-00248,CLI-0005,2496.57,449.38,107.35,36.45,1903.39,2,1686.68
SRC-SALE-000020,2026-03-21,NF-000020,1,PRD-00261,CLI-0006,2948.72,530.77,103.21,46.29,2268.45,3,2004.54
SRC-SALE-000021,2026-04-22,NF-000021,1,PRD-00274,CLI-0007,2966.24,533.92,109.75,49.83,2272.74,4,2028.91
SRC-SALE-000022,2026-05-23,NF-000022,1,PRD-00287,CLI-0008,2762.32,497.22,107.73,49.45,2107.92,5,1901.03
SRC-SALE-000023,2026-06-24,NF-000023,1,PRD-00300,CLI-0009,2777.70,499.99,113.89,52.78,2111.04,6,1923.28
SRC-SALE-000024,2026-07-25,NF-000024,1,PRD-00313,CLI-0010,2569.25,462.47,110.48,51.64,1944.66,7,1789.74
SRC-SALE-000025,2024-08-26,NF-000025,1,PRD-00326,CLI-0011,3025.00,544.50,105.88,24.20,2350.42,8,1815.00
SRC-SALE-000026,2024-09-27,NF-000026,1,PRD-00339,CLI-0012,3060.00,550.80,113.22,24.48,2371.50,9,1848.85
SRC-SALE-000027,2024-10-28,NF-000027,1,PRD-00352,CLI-0013,3095.00,557.10,120.71,24.76,2392.43,1,1883.00
SRC-SALE-000028,2024-11-01,NF-000028,1,PRD-00365,CLI-0014,3693.40,664.81,151.43,29.55,2847.61,2,2262.58
SRC-SALE-000029,2024-12-02,NF-000029,1,PRD-00378,CLI-0015,3734.70,672.25,160.59,29.88,2871.98,3,2303.56
SRC-SALE-000030,2025-01-03,NF-000030,1,PRD-00391,CLI-0001,2944.00,529.92,103.04,23.55,2287.49,4,1828.22
SRC-SALE-000031,2025-02-04,NF-000031,1,PRD-00404,CLI-0002,2976.20,535.72,110.12,23.81,2306.55,5,1860.72
SRC-SALE-000032,2025-03-05,NF-000032,1,PRD-00417,CLI-0003,3531.60,635.69,137.73,28.25,2729.93,6,2222.79
SRC-SALE-000033,2025-04-06,NF-000033,1,PRD-00430,CLI-0004,3569.40,642.49,146.35,28.56,2752.00,7,2261.57
SRC-SALE-000034,2025-05-07,NF-000034,1,PRD-00443,CLI-0005,3340.00,601.20,143.62,26.72,2568.46,8,2130.25
SRC-SALE-000035,2025-06-08,NF-000035,1,PRD-00456,CLI-0596,3375.00,607.50,118.13,27.00,2622.37,9,2166.75
SRC-SALE-000036,2025-07-09,NF-000036,1,PRD-00469,CLI-0613,3137.20,564.70,116.08,25.10,2431.32,1,2027.26
SRC-SALE-000037,2025-08-10,NF-000037,1,PRD-00482,CLI-0010,3445.00,620.10,134.36,27.56,2662.98,2,2240.63
SRC-SALE-000038,2025-09-11,NF-000038,1,PRD-00495,CLI-0027,3459.12,622.64,141.82,31.48,2663.18,3,2264.34
SRC-SALE-000039,2025-10-12,NF-000039,1,PRD-00508,CLI-0044,3472.82,625.11,149.33,35.42,2662.96,4,2287.89
SRC-SALE-000040,2025-11-13,NF-000040,1,PRD-00521,CLI-0061,4113.60,740.45,143.98,46.48,3182.69,5,2727.32
SRC-SALE-000041,2025-12-14,NF-000041,1,PRD-00534,CLI-0078,4128.77,743.18,152.76,51.20,3181.63,6,2754.72
SRC-SALE-000042,2026-01-15,NF-000042,1,PRD-00547,CLI-0095,3230.49,581.49,125.99,43.61,2479.40,7,2168.95
SRC-SALE-000043,2026-02-16,NF-000043,1,PRD-00560,CLI-0112,3241.55,583.48,132.90,47.33,2477.84,8,2189.99
SRC-SALE-000044,2026-03-17,NF-000044,1,PRD-00573,CLI-0129,3817.82,687.21,164.17,59.94,2906.50,9,2595.35
SRC-SALE-000045,2026-04-18,NF-000045,1,PRD-00586,CLI-0146,3829.90,689.38,134.05,64.34,2942.13,1,2619.65
SRC-SALE-000046,2026-05-19,NF-000046,1,PRD-00599,CLI-0163,3556.96,640.25,131.61,63.67,2721.43,2,2447.90
SRC-SALE-000047,2026-06-20,NF-000047,1,PRD-00612,CLI-0180,3567.30,642.11,139.12,67.78,2718.29,3,2470.00
SRC-SALE-000048,2026-07-21,NF-000048,1,PRD-00625,CLI-0197,3291.04,592.39,134.93,66.15,2497.57,4,2292.54
SRC-SALE-000049,2024-08-22,NF-000049,1,PRD-00638,CLI-0214,3865.00,695.70,166.20,30.92,2972.18,5,2319.00
SRC-SALE-000050,2024-09-23,NF-000050,1,PRD-00651,CLI-0231,3900.00,702.00,136.50,31.20,3030.30,6,2356.38
SRC-SALE-000051,2024-10-24,NF-000051,1,PRD-00664,CLI-0248,3935.00,708.30,145.60,31.48,3049.62,7,2394.05
SRC-SALE-000052,2024-11-25,NF-000052,1,PRD-00677,CLI-0265,4684.60,843.23,182.70,37.48,3621.19,8,2869.79
SRC-SALE-000053,2024-12-26,NF-000053,1,PRD-00690,CLI-0282,4725.90,850.66,193.76,37.81,3643.67,9,2914.94
SRC-SALE-000054,2025-01-27,NF-000054,1,PRD-00703,CLI-0299,3716.80,669.02,159.82,29.73,2858.23,1,2308.13
SRC-SALE-000055,2025-02-28,NF-000055,1,PRD-00716,CLI-0316,3749.00,674.82,131.22,29.99,2912.97,2,2343.87
SRC-SALE-000056,2025-03-01,NF-000056,1,PRD-00729,CLI-0333,4438.80,798.98,164.24,35.51,3440.07,3,2793.78
SRC-SALE-000057,2025-04-02,NF-000057,1,PRD-00742,CLI-0350,4476.60,805.79,174.59,35.81,3460.41,4,2836.37
SRC-SALE-000058,2025-05-03,NF-000058,1,PRD-00755,CLI-0367,4180.00,752.40,171.38,33.44,3222.78,5,2666.00
SRC-SALE-000059,2025-06-04,NF-000059,1,PRD-00768,CLI-0384,4215.00,758.70,181.25,33.72,3241.33,6,2706.03
SRC-SALE-000060,2025-07-05,NF-000060,1,PRD-00781,CLI-0401,3910.00,703.80,136.85,31.28,3038.07,7,2526.64
SRC-SALE-000061,2025-08-06,NF-000061,1,PRD-00794,CLI-0418,4285.00,771.30,158.55,34.28,3320.87,8,2786.96
SRC-SALE-000062,2025-09-07,NF-000062,1,PRD-00807,CLI-0435,4294.08,772.93,167.47,39.08,3314.60,9,2810.90
SRC-SALE-000063,2025-10-08,NF-000063,1,PRD-00820,CLI-0452,4302.74,774.49,176.41,43.89,3307.95,1,2834.65
SRC-SALE-000064,2025-11-09,NF-000064,1,PRD-00833,CLI-0469,5086.96,915.65,218.74,57.48,3895.09,2,3372.65
SRC-SALE-000065,2025-12-10,NF-000065,1,PRD-00846,CLI-0486,5096.18,917.31,178.37,63.19,3937.31,3,3400.17
SRC-SALE-000066,2026-01-11,NF-000066,1,PRD-00859,CLI-0503,3980.10,716.42,147.26,53.73,3062.69,4,2672.24
SRC-SALE-000067,2026-02-12,NF-000067,1,PRD-00872,CLI-0520,3986.53,717.58,155.47,58.20,3055.28,5,2693.30
SRC-SALE-000068,2026-03-13,NF-000068,1,PRD-00885,CLI-0537,4686.92,843.65,192.16,73.58,3577.53,6,3186.17
SRC-SALE-000069,2026-04-14,NF-000069,1,PRD-00898,CLI-0554,4693.55,844.84,201.82,78.85,3568.04,7,3210.39
SRC-SALE-000070,2026-05-15,NF-000070,1,PRD-00911,CLI-0571,2033.90,366.10,71.19,36.41,1560.20,8,1399.73
SRC-SALE-000071,2026-06-16,NF-000071,1,PRD-00924,CLI-0588,2053.90,369.70,75.99,39.02,1569.19,9,1422.12
SRC-SALE-000072,2026-07-17,NF-000072,1,PRD-00937,CLI-0605,1907.60,343.37,74.40,38.34,1451.49,1,1328.83
SRC-SALE-000073,2024-08-18,NF-000073,1,PRD-00950,CLI-0002,2255.00,405.90,92.46,18.04,1738.60,2,1353.00
SRC-SALE-000074,2024-09-19,NF-000074,1,PRD-00963,CLI-0019,2290.00,412.20,98.47,18.32,1761.01,3,1383.62
SRC-SALE-000075,2024-10-20,NF-000075,1,PRD-00976,CLI-0036,2325.00,418.50,81.38,18.60,1806.52,4,1414.53
SRC-SALE-000076,2024-11-21,NF-000076,1,PRD-00989,CLI-0053,2784.80,501.26,103.04,22.28,2158.22,5,1705.97
SRC-SALE-000077,2024-12-22,NF-000077,1,PRD-01002,CLI-0070,2826.10,508.70,110.22,22.61,2184.57,6,1743.14
SRC-SALE-000078,2025-01-23,NF-000078,1,PRD-01015,CLI-0087,2235.60,402.41,91.66,17.88,1723.65,7,1388.31
SRC-SALE-000079,2025-02-24,NF-000079,1,PRD-01028,CLI-0104,2267.80,408.20,97.52,18.14,1743.94,8,1417.83
SRC-SALE-000080,2025-03-25,NF-000080,1,PRD-01041,CLI-0121,2700.00,486.00,94.50,21.60,2097.90,9,1699.38
SRC-SALE-000081,2025-04-26,NF-000081,1,PRD-01054,CLI-0138,2737.80,492.80,101.30,21.90,2121.80,1,1734.67
SRC-SALE-000082,2025-05-27,NF-000082,1,PRD-01067,CLI-0155,2570.00,462.60,100.23,20.56,1986.61,2,1639.15
SRC-SALE-000083,2025-06-28,NF-000083,1,PRD-01080,CLI-0172,2605.00,468.90,106.81,20.84,2008.45,3,1672.41
SRC-SALE-000084,2025-07-01,NF-000084,1,PRD-01093,CLI-0189,2428.80,437.18,104.44,19.43,1867.75,4,1569.49
SRC-SALE-000085,2025-08-02,NF-000085,1,PRD-01106,CLI-0206,2675.00,481.50,93.63,21.40,2078.47,5,1739.82
SRC-SALE-000086,2025-09-03,NF-000086,1,PRD-01119,CLI-0223,2693.74,484.87,99.67,24.51,2084.69,6,1763.32
SRC-SALE-000087,2025-10-04,NF-000087,1,PRD-01132,CLI-0240,2712.06,488.17,105.77,27.66,2090.46,7,1786.71
SRC-SALE-000088,2025-11-05,NF-000088,1,PRD-01145,CLI-0257,3221.35,579.84,132.08,36.40,2473.03,8,2135.76
SRC-SALE-000089,2025-12-06,NF-000089,1,PRD-01158,CLI-0274,3241.98,583.56,139.41,40.20,2478.81,9,2163.05
SRC-SALE-000090,2026-01-07,NF-000090,1,PRD-01171,CLI-0291,2543.34,457.80,89.02,34.34,1962.18,1,1707.60
SRC-SALE-000091,2026-02-08,NF-000091,1,PRD-01184,CLI-0308,2558.65,460.56,94.67,37.36,1966.06,2,1728.62
SRC-SALE-000092,2026-03-09,NF-000092,1,PRD-01197,CLI-0325,3021.15,543.81,117.82,47.43,2312.09,3,2053.78
SRC-SALE-000093,2026-04-10,NF-000093,1,PRD-01210,CLI-0342,3038.21,546.88,124.57,51.04,2315.72,4,2078.14
SRC-SALE-000094,2026-05-11,NF-000094,1,PRD-01223,CLI-0359,2828.54,509.14,121.63,50.63,2147.14,5,1946.60
SRC-SALE-000095,2026-06-12,NF-000095,1,PRD-01236,CLI-0376,2843.50,511.83,99.52,54.03,2178.12,6,1968.84
SRC-SALE-000096,2026-07-13,NF-000096,1,PRD-01249,CLI-0393,2629.40,473.29,97.29,52.85,2005.97,7,1831.64
SRC-SALE-000097,2024-08-14,NF-000097,1,PRD-01262,CLI-0410,3095.00,557.10,120.71,24.76,2392.43,8,1857.00
SRC-SALE-000098,2024-09-15,NF-000098,1,PRD-01275,CLI-0427,3130.00,563.40,128.33,25.04,2413.23,9,1891.15
SRC-SALE-000099,2024-10-16,NF-000099,1,PRD-01288,CLI-0444,3165.00,569.70,136.10,25.32,2433.88,1,1925.59
SRC-SALE-000100,2024-11-17,NF-000100,1,PRD-01301,CLI-0011,3776.00,679.68,132.16,30.21,2933.95,2,2313.18
SRC-SALE-000101,2024-12-18,NF-000101,1,PRD-01314,CLI-0012,3817.30,687.11,141.24,30.54,2958.41,3,2354.51
SRC-SALE-000102,2025-01-19,NF-000102,1,PRD-01327,CLI-0013,3008.40,541.51,117.33,24.07,2325.49,4,1868.22
SRC-SALE-000103,2025-02-20,NF-000103,1,PRD-01340,CLI-0014,3040.60,547.31,124.66,24.32,2344.31,5,1900.98
SRC-SALE-000104,2025-03-21,NF-000104,1,PRD-00003,CLI-0015,3607.20,649.30,155.11,28.86,2773.93,6,2270.37
SRC-SALE-000105,2025-04-22,NF-000105,1,PRD-00016,CLI-0001,3645.00,656.10,127.58,29.16,2832.16,7,2309.47
SRC-SALE-000106,2025-05-23,NF-000106,1,PRD-00029,CLI-0002,3410.00,613.80,126.17,27.28,2642.75,8,2174.90
SRC-SALE-000107,2025-06-24,NF-000107,1,PRD-00042,CLI-0003,3445.00,620.10,134.36,27.56,2662.98,9,2211.69
SRC-SALE-000108,2025-07-25,NF-000108,1,PRD-00055,CLI-0004,3201.60,576.29,131.27,25.61,2468.43,1,2068.87
SRC-SALE-000109,2025-08-26,NF-000109,1,PRD-00068,CLI-0005,3515.00,632.70,151.15,28.12,2703.03,2,2286.16
SRC-SALE-000110,2025-09-27,NF-000110,1,PRD-00081,CLI-0006,3528.70,635.17,123.50,32.11,2737.92,3,2309.89
SRC-SALE-000111,2025-10-28,NF-000111,1,PRD-00094,CLI-0007,3541.98,637.56,131.05,36.13,2737.24,4,2333.46
SRC-SALE-000112,2025-11-01,NF-000112,1,PRD-00107,CLI-0008,4194.71,755.05,163.59,47.40,3228.67,5,2781.09
SRC-SALE-000113,2025-12-02,NF-000113,1,PRD-00120,CLI-0009,4209.39,757.69,172.58,52.20,3226.92,6,2808.51
SRC-SALE-000114,2026-01-03,NF-000114,1,PRD-00133,CLI-0010,3292.96,592.73,141.60,44.45,2514.18,7,2210.89
SRC-SALE-000115,2026-02-04,NF-000115,1,PRD-00146,CLI-0011,3303.63,594.65,115.63,48.23,2545.12,8,2231.93
SRC-SALE-000116,2026-03-05,NF-000116,1,PRD-00159,CLI-0012,3890.25,700.25,143.94,61.08,2984.98,9,2644.59
SRC-SALE-000117,2026-04-06,NF-000117,1,PRD-00172,CLI-0013,3901.87,702.34,152.17,65.55,2981.81,1,2668.88
SRC-SALE-000118,2026-05-07,NF-000118,1,PRD-00185,CLI-0014,3623.18,652.17,148.55,64.85,2757.61,2,2493.47
SRC-SALE-000119,2026-06-08,NF-000119,1,PRD-00198,CLI-0015,3633.10,653.96,156.22,69.03,2753.89,3,2515.56
SRC-SALE-000120,2026-07-09,NF-000120,1,PRD-00211,CLI-0001,3351.19,603.21,117.29,67.36,2563.33,4,2334.44
SRC-SALE-000121,2024-08-10,NF-000121,1,PRD-00224,CLI-0002,3935.00,708.30,145.60,31.48,3049.62,5,2361.00
SRC-SALE-000122,2024-09-11,NF-000122,1,PRD-00237,CLI-0003,3970.00,714.60,154.83,31.76,3068.81,6,2398.67
SRC-SALE-000123,2024-10-12,NF-000123,1,PRD-00250,CLI-0004,4005.00,720.90,164.21,32.04,3087.85,7,2436.64
SRC-SALE-000124,2024-11-13,NF-000124,1,PRD-00263,CLI-0005,4767.20,858.10,204.99,38.14,3665.97,8,2920.39
SRC-SALE-000125,2024-12-14,NF-000125,1,PRD-00276,CLI-0006,4808.50,865.53,168.30,38.47,3736.20,9,2965.88
SRC-SALE-000126,2025-01-15,NF-000126,1,PRD-00289,CLI-0007,3781.20,680.62,139.90,30.25,2930.43,1,2348.13
SRC-SALE-000127,2025-02-16,NF-000127,1,PRD-00302,CLI-0008,3813.40,686.41,148.72,30.51,2947.76,2,2384.14
SRC-SALE-000128,2025-03-17,NF-000128,1,PRD-00315,CLI-0009,4514.40,812.59,185.09,36.12,3480.60,3,2841.36
SRC-SALE-000129,2025-04-18,NF-000129,1,PRD-00328,CLI-0010,4552.20,819.40,195.74,36.42,3500.64,4,2884.27
SRC-SALE-000130,2025-05-19,NF-000130,1,PRD-00341,CLI-0011,4250.00,765.00,148.75,34.00,3302.25,5,2710.65
SRC-SALE-000131,2025-06-20,NF-000131,1,PRD-00354,CLI-0012,4285.00,771.30,158.55,34.28,3320.87,6,2750.97
SRC-SALE-000132,2025-07-21,NF-000132,1,PRD-00367,CLI-0013,3974.40,715.39,155.00,31.80,3072.21,7,2568.26
SRC-SALE-000133,2025-08-22,NF-000133,1,PRD-00380,CLI-0014,4355.00,783.90,178.56,34.84,3357.70,8,2832.49
SRC-SALE-000134,2025-09-23,NF-000134,1,PRD-00393,CLI-0015,4363.66,785.46,187.64,39.71,3350.85,9,2856.45
SRC-SALE-000135,2025-10-24,NF-000135,1,PRD-00406,CLI-0436,4371.90,786.94,153.02,44.59,3387.35,1,2880.21
SRC-SALE-000136,2025-11-25,NF-000136,1,PRD-00419,CLI-0453,5168.07,930.25,191.22,58.40,3988.20,2,3426.43
SRC-SALE-000137,2025-12-26,NF-000137,1,PRD-00432,CLI-0470,5176.80,931.82,201.90,64.19,3978.89,3,3453.96
SRC-SALE-000138,2026-01-27,NF-000138,1,PRD-00445,CLI-0487,4042.57,727.66,165.75,54.57,3094.59,4,2714.18
SRC-SALE-000139,2026-02-28,NF-000139,1,PRD-00458,CLI-0504,4048.61,728.75,174.09,59.11,3086.66,5,2735.24
SRC-SALE-000140,2026-03-01,NF-000140,1,PRD-00471,CLI-0521,2224.48,400.41,77.86,34.92,1711.29,6,1512.20
SRC-SALE-000141,2026-04-02,NF-000141,1,PRD-00484,CLI-0538,2246.53,404.38,83.12,37.74,1721.29,7,1536.63
SRC-SALE-000142,2026-05-03,NF-000142,1,PRD-00497,CLI-0555,2100.12,378.02,81.90,37.59,1602.61,8,1445.30
SRC-SALE-000143,2026-06-04,NF-000143,1,PRD-00510,CLI-0572,2119.70,381.55,86.91,40.27,1610.97,9,1467.68
SRC-SALE-000144,2026-07-05,NF-000144,1,PRD-00523,CLI-0589,1967.75,354.20,84.61,39.55,1489.39,1,1370.73
SRC-SALE-000145,2024-08-06,NF-000145,1,PRD-00536,CLI-0606,2325.00,418.50,81.38,18.60,1806.52,2,1395.00
SRC-SALE-000146,2024-09-07,NF-000146,1,PRD-00549,CLI-0003,2360.00,424.80,87.32,18.88,1829.00,3,1425.91
SRC-SALE-000147,2024-10-08,NF-000147,1,PRD-00562,CLI-0020,2395.00,431.10,93.41,19.16,1851.33,4,1457.12
SRC-SALE-000148,2024-11-09,NF-000148,1,PRD-00575,CLI-0037,2867.40,516.13,117.56,22.94,2210.77,5,1756.57
